,Amount,From,To,Txn,Type,punk_id,amount_ethereum,amount_dollars
16,"25Ξ ($2,822)",0xf5099e,0xe08c32,"Nov 30, 2018",Sold,0.0,25.0,2822.0
24,1.60Ξ ($386),0x00d7c9,0xa0a59c,"Jul 07, 2017",Sold,0.0,1.6,386.0
31,0.98Ξ ($320),0xc352b5,0x00d7c9,"Jun 23, 2017",Sold,0.0,0.98,320.0
36,"60Ξ ($36,305)",EliteCat…,0xcf6165,"Nov 30, 2020",Sold,1.0,60.0,36305.0
62,"31Ξ ($5,155)",0xf5099e,GoWest23,"Apr 06, 2019",Sold,1.0,31.0,5155.0
80,0.42Ξ ($107),0xc352b5,0xa0a59c,"Jun 26, 2017",Sold,1.0,0.42,107.0
272,2.50Ξ ($234),0x582fa7,0x7c00c9…,"Dec 07, 2018",Sold,14.0,2.5,234.0
274,1.85Ξ ($351),0xd8e806,0x582fa7,"Jul 17, 2017",Sold,14.0,1.85,351.0
278,0.90Ξ ($185),0xc352b5,0xd8e806,"Jul 13, 2017",Sold,14.0,0.9,185.0
381,0.51Ξ ($105),0xc352b5,0x6611fe,"Jul 10, 2017",Sold,33.0,0.51,105.0
468,"22Ξ ($42,803)",0xdcf227,jmg,"Feb 19, 2021",Sold,53.0,22.0,42803.0
474,"20Ξ ($26,612)",0xc352b5,0xdcf227,"Feb 01, 2021",Sold,53.0,20.0,26612.0
642,"19.99Ξ ($6,898)",jmg,TokenAng…,"Sep 06, 2020",Sold,89.0,19.99,6898.0
645,"20Ξ ($4,138)",0x052564,jmg,"May 28, 2020",Sold,89.0,20.0,4138.0
673,1.50Ξ ($336),0xc352b5,0xd8e806,"Jul 12, 2017",Sold,89.0,1.5,336.0
793,2.40Ξ ($456),0xd8e806,0x582fa7,"Jul 17, 2017",Sold,116.0,2.4,456.0
802,1.20Ξ ($229),0xc352b5,0xd8e806,"Jul 11, 2017",Sold,116.0,1.2,229.0
823,"20.45Ξ ($69,259)",0x436a4a,0x9179de,"May 04, 2021",Sold,118.0,20.45,69259.0
827,"20.25Ξ ($36,230)",0x394547,0x436a4a,"Mar 11, 2021",Sold,118.0,20.25,36230.0
872,"17Ξ ($41,859)",0xf25e63,0x8bfe24,"Jun 10, 2021",Sold,124.0,17.0,41859.0
874,"19.90Ξ ($34,519)",0x84c920,0xf25e63,"Mar 08, 2021",Sold,124.0,19.9,34519.0
877,"15Ξ ($25,709)",0x51636d,0x84c920,"Mar 07, 2021",Sold,124.0,15.0,25709.0
927,"15.95Ξ ($33,761)",0x380236,0xdde0b7,"Apr 06, 2021",Sold,138.0,15.95,33761.0
930,"15.25Ξ ($32,364)",0x753b20,0x380236,"Apr 06, 2021",Sold,138.0,15.25,32364.0
932,"14.50Ξ ($30,548)",0xd4442b,0x753b20,"Apr 06, 2021",Sold,138.0,14.5,30548.0
