,id,types,rarity,skin,total_traits,traits
0,100,Female,3658,Mid,1,Tassle Hat
1,101,Male,4069,Mid,2,"Nerd Glasses,Police Cap"
2,102,Male,2078,Mid,2,"Luxurious Beard,Vampire Hair"
3,103,Female,2005,Dark,3,"Black Lipstick,Blonde Bob,Green Eye Shadow"
4,104,Male,6805,Dark,4,"Crazy Hair,Earring,Eye Patch,Normal Beard Black"
5,105,Male,8074,Light,1,Mohawk Thin
6,106,Female,1589,Light,1,Straight Hair Blonde
7,107,Male,8039,Mid,1,Headband
8,108,Female,8682,Light,2,"Black Lipstick,Headband"
9,109,Male,3778,Dark,3,"Earring,Fedora,Handlebars"
10,110,Female,9046,Dark,4,"Cigarette,Earring,Mohawk Dark,Purple Lipstick"
11,111,Male,5551,Dark,2,"Handlebars,Knitted Cap"
12,112,Male,1877,Mid,4,"Bandana,Big Beard,Earring,Horned Rim Glasses"
13,113,Male,8066,Albino,1,Mohawk
14,114,Female,2158,Dark,1,Red Mohawk
15,115,Female,2421,Dark,2,"Earring,Half Shaved,Hidden Earring"
16,116,Female,220,Dark,4,"Black Lipstick,Clown Eyes Blue,Earring,Tiara"
17,117,Zombie,504,Zombie,2,"Front Beard Dark,Messy Hair"
18,118,Female,9954,Light,2,"Bandana,Black Lipstick"
19,119,Male,8245,Mid,2,"Cap,Earring"
20,120,Female,3703,Mid,2,"Big Shades,Tassle Hat"
21,121,Female,243,Light,2,"Purple Lipstick,Tiara"
22,122,Male,9323,Light,2,"Cigarette,Mohawk"
23,123,Female,868,Mid,2,"Spots,Wild White Hair"
24,124,Male,6760,Mid,3,"Earring,Normal Beard Black,Peak Spike"
25,125,Female,3693,Light,3,"Big Shades,Purple Lipstick,Tassle Hat"
26,126,Male,8605,Albino,4,"Cigarette,Earring,Eye Patch,Headband"
27,127,Female,8453,Mid,2,"Clown Eyes Green,Stringy Hair"
28,128,Male,3938,Light,4,"Chinstrap,Mole,Police Cap,Vape,Hidden Mole"
29,129,Male,3389,Light,4,"Cap Forward,Cigarette,Gold Chain,Horned Rim Glasses"
30,130,Male,8075,Light,1,Mohawk
31,131,Female,2694,Mid,2,"Hot Lipstick,Straight Hair Dark"
32,132,Male,8070,Dark,1,Mohawk Thin
33,133,Male,3149,Albino,3,"Chinstrap,Pipe,Purple Hair"
34,134,Male,4021,Mid,1,Police Cap
35,135,Male,4708,Light,1,Cap Forward
36,136,Male,7444,Dark,3,"Clown Eyes Green,Shadow Beard,Shaved Head"
37,137,Male,8097,Dark,1,Messy Hair
38,138,Male,9806,Light,2,"Horned Rim Glasses,Stringy Hair"
39,139,Male,7470,Mid,2,"Do-rag,Eye Patch"
40,140,Female,4532,Dark,1,Hot Lipstick
41,141,Male,6115,Dark,3,"3D Glasses,Chinstrap,Headband"
42,142,Male,9168,Light,2,"Mohawk,Regular Shades"
43,143,Male,91,Light,2,"Beanie,Horned Rim Glasses"
44,144,Male,6479,Dark,3,"Cigarette,Frumpy Hair,Luxurious Beard"
45,145,Male,8091,Light,1,Wild Hair
46,146,Male,9335,Light,2,"Earring,Mohawk"
47,147,Male,9158,Albino,2,"Mohawk Thin,Regular Shades"
48,148,Male,4935,Mid,1,Hoodie
49,149,Male,6522,Light,3,"Big Shades,Luxurious Beard,Messy Hair"
50,150,Female,4578,Mid,2,"Earring,Purple Lipstick"
51,151,Male,8015,Mid,2,"Stringy Hair,VR"
52,152,Male,8371,Light,2,"Clown Eyes Green,Mohawk Dark"
53,153,Male,7120,Mid,3,"Cap,Earring,Eye Mask"
54,154,Male,4969,Dark,3,"Earring,Hoodie,Shadow Beard,Hidden Earring"
55,155,Male,2455,Dark,2,"Clown Hair Green,Clown Nose"
56,156,Male,4715,Dark,2,"Cap Forward,Small Shades"
57,157,Male,8237,Mid,2,"Cap,Cigarette"
58,158,Male,7330,Light,3,"Goat,Regular Shades,Wild Hair"
59,159,Male,9873,Light,2,"Earring,Stringy Hair"
60,160,Female,612,Mid,3,"Clown Eyes Blue,Pigtails,Purple Lipstick"
61,161,Female,9452,Dark,2,"Frumpy Hair,Hot Lipstick"
62,162,Male,6860,Mid,3,"Frumpy Hair,Horned Rim Glasses,Normal Beard Black"
63,163,Male,7466,Dark,2,"Eye Patch,Shaved Head"
64,164,Female,8014,Mid,2,"Stringy Hair,VR"
65,165,Male,5111,Mid,3,"Cigarette,Front Beard Dark,Mohawk Dark"
66,166,Male,7528,Dark,2,"Regular Shades,Shaved Head"
67,167,Female,8698,Mid,2,"Headband,Hot Lipstick"
68,168,Female,1880,Light,3,"Blonde Bob,Blue Eye Shadow,Silver Chain"
69,169,Female,1299,Mid,3,"Hot Lipstick,Regular Shades,Wild White Hair"
70,170,Male,7775,Light,3,"Classic Shades,Mole,Peak Spike"
71,171,Male,9837,Mid,3,"Earring,Mole,Stringy Hair"
72,172,Female,2068,Mid,3,"3D Glasses,Blonde Bob,Purple Lipstick"
73,173,Female,3360,Dark,5,"Clown Eyes Blue,Hot Lipstick,Messy Hair,Mole,Pipe"
74,174,Male,9534,Dark,3,"Earring,Horned Rim Glasses,Wild Hair"
75,175,Male,8197,Mid,2,"Big Shades,Cap"
76,176,Female,9512,Dark,4,"Earring,Purple Lipstick,Regular Shades,Wild Hair,Hidden Earring"
77,177,Male,6561,Dark,2,"Bandana,Luxurious Beard"
78,178,Male,3855,Mid,1,Fedora
79,179,Male,9095,Albino,3,"Classic Shades,Mohawk Thin,Shadow Beard"
80,180,Female,189,Dark,2,"Hot Lipstick,Pilot Helmet"
81,181,Male,8071,Dark,1,Mohawk
82,182,Male,7633,Albino,1,Peak Spike
83,183,Male,4507,Light,1,Shadow Beard
84,184,Female,2025,Dark,2,"Blonde Bob,Green Eye Shadow"
85,185,Female,1334,Light,2,"Hot Lipstick,Wild White Hair"
86,186,Male,6642,Dark,2,"Crazy Hair,Mustache"
87,187,Female,2777,Light,1,Straight Hair
88,188,Male,7815,Dark,3,"Earring,Nerd Glasses,Peak Spike"
89,189,Female,9288,Light,2,"Mohawk Thin,Purple Lipstick"
90,190,Male,8035,Dark,1,Headband
91,191,Female,8068,Dark,1,Mohawk
92,192,Male,4170,Mid,4,"Clown Nose,Earring,Mohawk Thin,Nerd Glasses"
93,193,Female,3623,Light,3,"Earring,Green Eye Shadow,Tassle Hat,Hidden Earring"
94,194,Male,8423,Light,2,"Clown Eyes Green,Wild Hair"
95,195,Female,1687,Light,2,"Nerd Glasses,Straight Hair Blonde"
96,196,Female,3695,Light,3,"Big Shades,Hot Lipstick,Tassle Hat"
97,197,Male,9348,Dark,2,"Eye Patch,Frumpy Hair"
98,198,Male,68,Mid,2,"Beanie,Luxurious Beard"
99,199,Female,1161,Light,2,"Blonde Short,Classic Shades"
100,200,Female,8088,Dark,1,Wild Hair
