,id,amount_ethereum,amount_dollars,transaction_date
0,9000,28Ξ,"($50,453)","Mar 10, 2021"
1,9001,10.88Ξ,"($19,230)","Feb 17, 2021"
2,9001,6Ξ,"($2,085)","Oct 03, 2020"
3,9001,0.49Ξ,($85),"May 06, 2019"
4,9002,21Ξ,"($45,348)","Jun 30, 2021"
5,9003,0.43Ξ,($102),"Jul 09, 2017"
6,9005,8Ξ,"($2,845)","Sep 29, 2020"
7,9005,0.29Ξ,($65),"Oct 02, 2018"
8,9005,0.10Ξ,($38),"Nov 22, 2017"
9,9007,20Ξ,"($44,477)","Apr 25, 2021"
10,9008,16Ξ,"($31,853)","Feb 20, 2021"
11,9008,0.65Ξ,($139),"Mar 08, 2020"
12,9009,0.30Ξ,($94),"Oct 08, 2017"
13,9010,10Ξ,"($18,618)","Feb 13, 2021"
14,9010,0.74Ξ,($152),"Jul 10, 2017"
15,9011,0.76Ξ,($88),"Jan 26, 2019"
16,9012,17.40Ξ,"($48,104)","May 26, 2021"
17,9012,18Ξ,"($60,486)","May 16, 2021"
18,9012,27Ξ,"($95,875)","May 07, 2021"
19,9012,50Ξ,"($88,093)","Feb 22, 2021"
20,9014,21.50Ξ,"($40,364)","Jul 16, 2021"
21,9014,27Ξ,"($45,760)","Feb 23, 2021"
22,9015,27.54Ξ,"($54,334)","Feb 21, 2021"
23,9015,10.99Ξ,"($20,209)","Feb 14, 2021"
24,9016,0.50Ξ,($108),"Aug 11, 2019"
25,9022,0Ξ,($20),"Jun 23, 2021"
26,9022,0.69Ξ,"($1,355)","Jun 21, 2021"
27,9022,20.94Ξ,"($72,743)","May 04, 2021"
28,9022,21.88Ξ,"($71,328)","May 03, 2021"
29,9022,24.88Ξ,"($78,855)","May 03, 2021"
30,9022,4.99Ξ,"($1,756)","Oct 05, 2020"
31,9022,5.25Ξ,"($1,821)","Oct 04, 2020"
32,9023,21.25Ξ,"($39,764)","Jul 17, 2021"
33,9023,19.47Ξ,"($41,741)","Jul 11, 2021"
34,9023,17.50Ξ,"($36,817)","Jun 29, 2021"
35,9023,15.50Ξ,"($36,461)","May 22, 2021"
36,9023,18.18Ξ,"($70,634)","May 14, 2021"
37,9024,0.15Ξ,($68),"Dec 08, 2017"
38,9025,23Ξ,"($35,696)","Feb 23, 2021"
39,9025,2.14Ξ,($732),"Sep 22, 2020"
40,9025,1.75Ξ,($651),"Sep 20, 2020"
41,9025,2Ξ,($722),"Sep 16, 2020"
42,9025,0.55Ξ,($110),"May 14, 2020"
43,9026,20Ξ,"($35,348)","Mar 29, 2021"
44,9027,21.20Ξ,"($47,787)","Apr 13, 2021"
45,9027,19.99Ξ,"($41,257)","Apr 08, 2021"
46,9028,96Ξ,"($202,977)","Apr 20, 2021"
47,9028,19.99Ξ,"($34,923)","Feb 05, 2021"
48,9028,13Ξ,"($16,650)","Jan 10, 2021"
49,9028,19.99Ξ,"($7,559)","Oct 15, 2020"
50,9028,15Ξ,"($5,550)","Sep 20, 2020"
51,9029,24.50Ξ,"($52,990)","Apr 13, 2021"
52,9030,5.55Ξ,"($6,101)","Jan 12, 2021"
53,9030,0.95Ξ,($179),"Feb 03, 2020"
54,9030,0.36Ξ,($76),"Aug 09, 2019"
55,9032,0.48Ξ,($142),"Jun 21, 2019"
56,9032,0.47Ξ,($55),"Jan 21, 2019"
57,9033,0.50Ξ,($108),"Jul 21, 2017"
58,9034,0.49Ξ,($102),"Jul 13, 2017"
59,9035,0.39Ξ,($96),"Jul 08, 2017"
60,9040,0.93Ξ,($313),"Jul 30, 2020"
61,9040,0.71Ξ,($169),"Jul 12, 2020"
62,9040,1Ξ,($231),"Jun 11, 2020"
63,9040,1.09Ξ,($223),"May 25, 2020"
64,9042,20.98Ξ,"($74,992)","May 06, 2021"
65,9042,5Ξ,"($1,789)","Sep 28, 2020"
66,9042,1.49Ξ,($565),"Sep 12, 2020"
67,9042,1.05Ξ,($241),"Jul 02, 2020"
68,9042,0.80Ξ,($108),"Jan 05, 2020"
69,9043,0.25Ξ,($45),"Sep 08, 2019"
70,9046,52.50Ξ,"($120,724)","Apr 13, 2021"
71,9046,30Ξ,"($51,550)","Mar 23, 2021"
72,9046,33Ξ,"($53,653)","Feb 25, 2021"
73,9047,24.88Ξ,"($53,344)","Apr 11, 2021"
74,9047,20.48Ξ,"($42,695)","Apr 09, 2021"
75,9047,19.99Ξ,"($41,320)","Apr 08, 2021"
76,9047,14.75Ξ,"($28,787)","Feb 21, 2021"
77,9047,3.25Ξ,"($1,124)","Sep 24, 2020"
78,9047,1.10Ξ,($428),"Aug 26, 2020"
79,9047,1Ξ,($383),"Aug 26, 2020"
80,9052,18Ξ,"($22,250)","Jan 07, 2021"
81,9055,0.25Ξ,($60),"Jul 07, 2017"
82,9057,38.50Ξ,"($79,929)","Apr 09, 2021"
83,9058,75Ξ,"($161,007)","Apr 11, 2021"
84,9060,27.50Ξ,"($93,049)","May 04, 2021"
85,9060,0.64Ξ,($121),"Sep 14, 2019"
86,9060,0.35Ξ,($61),"Apr 20, 2019"
87,9061,17Ξ,"($33,252)","Feb 19, 2021"
88,9062,41Ξ,"($79,546)","Apr 01, 2021"
89,9063,79Ξ,"($168,534)","Apr 12, 2021"
90,9063,72.50Ξ,"($130,776)","Mar 21, 2021"
91,9064,67.99Ξ,"($115,071)","Mar 23, 2021"
92,9065,30Ξ,"($54,953)","Mar 19, 2021"
93,9065,23Ξ,"($40,752)","Mar 17, 2021"
94,9069,33.99Ξ,"($61,029)","Mar 21, 2021"
95,9070,22.40Ξ,"($35,640)","Mar 03, 2021"
96,9072,27.50Ξ,"($67,983)","Apr 17, 2021"
97,9072,23.25Ξ,"($36,899)","Mar 25, 2021"
98,9073,22Ξ,"($51,463)","Apr 14, 2021"
99,9075,21Ξ,"($50,340)","Apr 17, 2021"
100,9075,22.50Ξ,"($38,076)","Feb 24, 2021"
101,9075,22Ξ,"($34,591)","Feb 24, 2021"
102,9076,12Ξ,"($21,327)","Feb 17, 2021"
103,9076,8.50Ξ,"($14,485)","Feb 15, 2021"
104,9077,0.66Ξ,($143),"Jul 21, 2017"
105,9079,65Ξ,"($158,009)","Apr 21, 2021"
106,9079,5.50Ξ,"($3,172)","Dec 24, 2020"
107,9082,33.95Ξ,"($79,662)","Apr 14, 2021"
108,9082,26.25Ξ,"($47,441)","Mar 12, 2021"
109,9085,0.00Ξ,($0.00),"Jul 18, 2021"
110,9085,13.85Ξ,"($26,467)","Feb 19, 2021"
111,9086,10.50Ξ,"($2,159)","May 27, 2020"
112,9086,4.50Ξ,($929),"May 24, 2020"
113,9086,0.50Ξ,($680),"Jan 14, 2018"
114,9089,17.99Ξ,"($47,214)","May 19, 2021"
115,9089,19.87Ξ,"($80,398)","May 10, 2021"
116,9089,23Ξ,"($37,051)","Feb 24, 2021"
117,9089,14.50Ξ,"($28,226)","Feb 21, 2021"
118,9089,3.25Ξ,"($1,147)","Sep 27, 2020"
119,9089,3.15Ξ,"($1,108)","Sep 27, 2020"
120,9089,2.75Ξ,($948),"Sep 25, 2020"
121,9089,1.75Ξ,($658),"Sep 14, 2020"
122,9089,0.69Ξ,($130),"Apr 24, 2020"
123,9089,0.59Ξ,($96),"Jan 16, 2020"
124,9089,0.54Ξ,($77),"Jan 07, 2020"
125,9089,0.52Ξ,($74),"Jan 07, 2020"
126,9090,9.50Ξ,"($16,986)","Feb 16, 2021"
127,9093,27.25Ξ,"($74,440)","Apr 29, 2021"
128,9094,0.59Ξ,($100),"Jan 17, 2020"
129,9094,0.54Ξ,($77),"Jan 07, 2020"
130,9095,8.72Ξ,"($15,106)","Feb 15, 2021"
131,9095,0.47Ξ,($73),"Jan 04, 2019"
132,9097,103Ξ,"($248,161)","Apr 26, 2021"
133,9099,25Ξ,"($55,365)","Jul 03, 2021"
134,9099,22Ξ,"($42,049)","Mar 14, 2021"
135,9099,21Ξ,"($37,356)","Mar 11, 2021"
136,9099,20.75Ξ,"($35,684)","Mar 08, 2021"
137,9101,0.49Ξ,($125),"May 30, 2019"
138,9102,37.75Ξ,"($79,857)","Apr 20, 2021"
139,9102,0.49Ξ,($132),"Jul 04, 2017"
140,9103,20.25Ξ,"($43,421)","Apr 10, 2021"
141,9105,0.39Ξ,($96),"Jul 08, 2017"
142,9106,26.88Ξ,"($42,745)","Mar 04, 2021"
143,9106,21.90Ξ,"($40,660)","Feb 22, 2021"
144,9106,21.88Ξ,"($41,940)","Feb 22, 2021"
145,9106,18.88Ξ,"($36,888)","Feb 21, 2021"
146,9107,1Ξ,($211),"May 19, 2020"
147,9110,20Ξ,"($38,707)","Jul 13, 2021"
148,9110,2.30Ξ,($767),"Sep 24, 2020"
149,9111,14.80Ξ,"($39,694)","Jun 06, 2021"
150,9113,22.98Ξ,"($50,947)","Jul 03, 2021"
151,9113,28Ξ,"($66,511)","Apr 23, 2021"
152,9113,6.90Ξ,"($9,529)","Jan 31, 2021"
153,9113,4.99Ξ,"($6,233)","Jan 27, 2021"
154,9114,0.94Ξ,($349),"Sep 11, 2020"
155,9114,1.10Ξ,($225),"May 25, 2020"
156,9114,1.03Ξ,($210),"May 24, 2020"
157,9117,20Ξ,"($46,418)","Apr 20, 2021"
158,9117,21.50Ξ,"($32,535)","Feb 27, 2021"
159,9117,3.99Ξ,"($4,981)","Jan 23, 2021"
160,9117,5Ξ,"($5,492)","Jan 06, 2021"
161,9117,3.45Ξ,"($1,220)","Sep 27, 2020"
162,9117,2.60Ξ,($913),"Sep 24, 2020"
163,9117,2.45Ξ,($848),"Sep 24, 2020"
164,9117,1.90Ξ,($649),"Sep 23, 2020"
165,9117,1.99Ξ,($735),"Sep 20, 2020"
166,9117,1.88Ξ,($690),"Sep 15, 2020"
167,9117,1.90Ξ,($717),"Sep 15, 2020"
168,9117,1.45Ξ,($545),"Sep 14, 2020"
169,9117,1.25Ξ,($459),"Sep 11, 2020"
170,9117,1.25Ξ,($455),"Sep 11, 2020"
