;id;amount_ethereum;amount_dollars;transaction_date
0;0;25Ξ;($2,822);Nov 30, 2018
1;0;1.60Ξ;($386);Jul 07, 2017
2;0;0.98Ξ;($320);Jun 23, 2017
3;1;60Ξ;($36,305);Nov 30, 2020
4;1;31Ξ;($5,155);Apr 06, 2019
5;1;0.42Ξ;($107);Jun 26, 2017
6;14;2.50Ξ;($234);Dec 07, 2018
7;14;1.85Ξ;($351);Jul 17, 2017
8;14;0.90Ξ;($185);Jul 13, 2017
9;33;0.51Ξ;($105);Jul 10, 2017
10;53;22Ξ;($42,803);Feb 19, 2021
11;53;20Ξ;($26,612);Feb 01, 2021
12;89;19.99Ξ;($6,898);Sep 06, 2020
13;89;20Ξ;($4,138);May 28, 2020
14;89;1.50Ξ;($336);Jul 12, 2017
15;116;2.40Ξ;($456);Jul 17, 2017
16;116;1.20Ξ;($229);Jul 11, 2017
17;118;20.45Ξ;($69,259);May 04, 2021
18;118;20.25Ξ;($36,230);Mar 11, 2021
19;124;17Ξ;($41,859);Jun 10, 2021
20;124;19.90Ξ;($34,519);Mar 08, 2021
21;124;15Ξ;($25,709);Mar 07, 2021
22;138;15.95Ξ;($33,761);Apr 06, 2021
23;138;15.25Ξ;($32,364);Apr 06, 2021
24;138;14.50Ξ;($30,548);Apr 06, 2021
25;138;14Ξ;($29,199);Apr 06, 2021
26;139;24.99Ξ;($44,945);Mar 11, 2021
27;141;33.99Ξ;($71,411);Apr 06, 2021
28;143;180Ξ;($418,676);Jul 04, 2021
29;143;165Ξ;($312,721);Mar 14, 2021
30;143;6.50Ξ;($1,041);Jan 25, 2020
31;155;25Ξ;($32,621);Jan 31, 2021
32;155;12Ξ;($4,253);Sep 09, 2020
33;155;7Ξ;($2,708);Aug 26, 2020
34;160;53Ξ;($127,403);Apr 21, 2021
35;160;40Ξ;($64,338);Mar 03, 2021
36;160;30Ξ;($58,686);Feb 19, 2021
37;161;22.21Ξ;($60,124);Apr 28, 2021
38;161;17Ξ;($35,762);Apr 05, 2021
39;168;25Ξ;($29,367);Jan 06, 2021
40;169;45Ξ;($95,175);Apr 10, 2021
41;169;6.99Ξ;($1,447);May 28, 2020
42;169;1Ξ;($127);Jan 02, 2020
43;173;50Ξ;($84,741);Feb 23, 2021
44;186;21.50Ξ;($42,233);Jul 15, 2021
45;195;16Ξ;($26,201);Feb 05, 2021
46;203;29.99Ξ;($61,700);Apr 08, 2021
