,id,amount_ethereum,amount_dollars,transaction_date
0,8000,0.50Ξ,($112),"Aug 03, 2017"
1,8001,39.50Ξ,"($60,178)","Feb 23, 2021"
2,8001,32Ξ,"($54,235)","Feb 23, 2021"
3,8001,0.49Ξ,($85),"May 06, 2019"
4,8002,0.05Ξ,($30),"Jun 08, 2018"
5,8004,0.95Ξ,($354),"Sep 10, 2020"
6,8004,0.90Ξ,($190),"May 19, 2020"
7,8006,47Ξ,"($73,811)","Mar 03, 2021"
8,8006,18.89Ξ,"($34,583)","Feb 14, 2021"
9,8009,3.17Ξ,($641),"May 14, 2020"
10,8009,0.31Ξ,($64),"Jul 10, 2017"
11,8010,109Ξ,"($231,690)","Jun 28, 2021"
12,8010,155Ξ,"($329,037)","Apr 10, 2021"
13,8011,12.99Ξ,"($25,301)","Feb 19, 2021"
14,8011,2.90Ξ,"($1,031)","Sep 26, 2020"
15,8011,2.75Ξ,"($1,046)","Sep 20, 2020"
16,8012,6.50Ξ,"($2,340)","Oct 09, 2020"
17,8012,4.50Ξ,"($1,599)","Sep 26, 2020"
18,8012,0.49Ξ,($85),"May 06, 2019"
19,8013,26Ξ,"($37,738)","Mar 01, 2021"
20,8014,9.80Ξ,"($17,720)","Feb 14, 2021"
21,8015,28.75Ξ,"($109,571)","May 08, 2021"
22,8015,32.50Ξ,"($67,866)","Apr 09, 2021"
23,8015,25.50Ξ,"($46,234)","Mar 12, 2021"
24,8015,8.30Ξ,"($14,980)","Feb 13, 2021"
25,8018,29Ξ,"($59,944)","Apr 08, 2021"
26,8018,21Ξ,"($35,637)","Mar 27, 2021"
27,8019,0.10Ξ,($47),"Dec 04, 2017"
28,8020,38.69Ξ,"($122,624)","May 03, 2021"
29,8020,25.85Ξ,"($47,521)","Mar 30, 2021"
30,8020,0.23Ξ,($236),"Jan 17, 2018"
31,8020,0.08Ξ,($24),"Sep 30, 2017"
32,8021,4.92Ξ,"($3,194)","Dec 27, 2020"
33,8021,4.92Ξ,"($3,190)","Dec 18, 2020"
34,8021,0.10Ξ,($38),"Apr 02, 2018"
35,8022,0.10Ξ,($46),"Dec 03, 2017"
36,8027,0.24Ξ,($68),"Jun 27, 2017"
37,8028,32.88Ξ,"($80,849)","Apr 26, 2021"
38,8028,10Ξ,"($18,194)","Feb 14, 2021"
39,8028,0.70Ξ,($115),"Apr 13, 2019"
40,8029,16.20Ξ,"($37,856)","Jun 17, 2021"
41,8029,15Ξ,"($40,064)","May 19, 2021"
42,8029,14.98Ξ,"($58,201)","May 14, 2021"
43,8029,13Ξ,"($49,926)","May 13, 2021"
44,8029,3.50Ξ,"($1,206)","Sep 25, 2020"
45,8029,3.25Ξ,"($1,236)","Sep 20, 2020"
46,8031,3.44Ξ,"($1,236)","Sep 28, 2020"
47,8031,2.99Ξ,"($1,055)","Sep 27, 2020"
48,8031,2.30Ξ,($796),"Sep 24, 2020"
49,8031,2.19Ξ,($761),"Sep 24, 2020"
50,8031,1.80Ξ,($613),"Sep 22, 2020"
51,8032,0.10Ξ,($136),"Jan 14, 2018"
52,8033,64.90Ξ,"($137,328)","Jul 10, 2021"
53,8033,54Ξ,"($96,103)","Mar 18, 2021"
54,8033,45Ξ,"($79,271)","Mar 12, 2021"
55,8033,25Ξ,"($47,909)","Feb 18, 2021"
56,8033,0.12Ξ,($68),"May 27, 2018"
57,8035,60Ξ,"($124,891)","Apr 09, 2021"
58,8035,43Ξ,"($88,057)","Apr 08, 2021"
59,8035,51.31Ξ,"($92,309)","Mar 21, 2021"
60,8035,0.23Ξ,($196),"Feb 10, 2018"
61,8036,2.50Ξ,($925),"Sep 12, 2020"
