,id,amount_ethereum,amount_dollars,transaction_date
0,5000,0.30Ξ,($67),"Aug 03, 2017"
1,5001,1.20Ξ,($247),"Jul 29, 2017"
2,5002,205Ξ,"($382,579)","Jul 17, 2021"
3,5002,49Ξ,"($11,542)","Jun 01, 2020"
4,5002,0.26Ξ,($88),"Oct 13, 2017"
5,5004,25Ξ,"($45,716)","Feb 22, 2021"
6,5004,5.95Ξ,"($4,384)","Dec 31, 2020"
7,5004,0.84Ξ,($327),"Aug 05, 2020"
8,5004,0.25Ξ,($53),"Aug 12, 2019"
9,5005,14.99Ξ,"($28,779)","Feb 19, 2021"
10,5005,12.50Ξ,"($21,370)","Feb 15, 2021"
11,5006,19.99Ξ,"($36,853)","Mar 30, 2021"
12,5007,0.32Ξ,($88),"Jul 03, 2017"
13,5008,8Ξ,"($11,458)","Feb 02, 2021"
14,5010,8Ξ,"($2,906)","Oct 09, 2020"
15,5011,29Ξ,"($46,716)","Feb 24, 2021"
16,5011,19Ξ,"($37,123)","Feb 21, 2021"
17,5011,13.40Ξ,"($24,731)","Feb 17, 2021"
18,5011,0.95Ξ,($330),"Sep 06, 2020"
19,5011,1Ξ,($317),"Jul 28, 2020"
20,5011,2.20Ξ,($452),"May 28, 2020"
21,5011,1.75Ξ,($355),"May 27, 2020"
22,5012,5Ξ,"($5,501)","Jan 13, 2021"
23,5013,34.99Ξ,"($56,953)","Feb 24, 2021"
24,5013,25Ξ,"($38,209)","Feb 23, 2021"
25,5014,7Ξ,"($9,138)","Jan 20, 2021"
26,5014,6Ξ,"($6,616)","Jan 13, 2021"
27,5017,22.97Ξ,"($62,702)","Apr 28, 2021"
28,5018,14.88Ξ,"($29,357)","Feb 21, 2021"
29,5018,3.60Ξ,"($1,284)","Sep 28, 2020"
30,5018,3.15Ξ,"($1,110)","Sep 27, 2020"
31,5018,2Ξ,($679),"Sep 23, 2020"
32,5018,1.45Ξ,($545),"Sep 14, 2020"
33,5019,0.27Ξ,($225),"Feb 24, 2018"
34,5020,14.99Ξ,"($37,113)","May 22, 2021"
