,types,rarity,skin,total_traits,traits,total_hidden_traits,hidden_traits
0,Female,2023,Mid,3,"Blonde Bob,Earring,Green Eye Shadow",1,Earring
1,Male,4352,Dark,2,"Mohawk,Smile",0,
2,Female,8090,Light,1,Wild Hair,0,
3,Male,7896,Dark,3,"Nerd Glasses,Pipe,Wild Hair",0,
4,Male,7332,Mid,4,"Big Shades,Earring,Goat,Wild Hair",0,
5,Female,1960,Mid,3,"Earring,Half Shaved,Purple Eye Shadow",1,Earring
6,Male,7425,Mid,1,Do-rag,0,
7,Female,866,Mid,3,"Clown Eyes Blue,Spots,Wild White Hair",0,
8,Male,6530,Dark,2,"Luxurious Beard,Messy Hair",0,
9,Male,1761,Mid,3,"Big Beard,Clown Nose,Police Cap",0,
10,Female,5668,Dark,2,"Blue Eye Shadow,Mohawk",0,
11,Female,2565,Mid,3,"Black Lipstick,Clown Eyes Green,Straight Hair Dark",0,
12,Female,1201,Dark,2,"Blonde Short,Purple Lipstick",0,
13,Female,1657,Light,3,"Big Shades,Black Lipstick,Straight Hair Blonde",0,
14,Female,155,Dark,3,"Hot Lipstick,Pilot Helmet,Pipe",0,
15,Male,6494,Albino,3,"Luxurious Beard,Regular Shades,Wild Hair",0,
16,Male,8315,Mid,3,"Earring,Small Shades,Stringy Hair",0,
17,Male,5303,Light,2,"Frown,Mohawk",0,
18,Male,4458,Mid,2,"Eye Mask,Muttonchops",0,
19,Female,9915,Dark,3,"Bandana,Horned Rim Glasses,Hot Lipstick",0,
20,Male,8045,Light,1,Crazy Hair,0,
21,Male,9607,Light,3,"Classic Shades,Earring,Messy Hair",0,
22,Female,183,Dark,2,"Pilot Helmet,Purple Lipstick",0,
23,Male,5480,Light,3,"Do-rag,Earring,Handlebars",0,
24,Male,4341,Light,2,"Mohawk Dark,Smile",0,
25,Female,1268,Dark,1,Wild White Hair,0,
26,Female,3027,Mid,1,Dark Hair,0,
27,Male,7831,Light,2,"Earring,Peak Spike",0,
28,Male,8763,Dark,2,"Big Shades,Crazy Hair",0,
29,Female,2297,Mid,3,"Earring,Half Shaved,Horned Rim Glasses",1,Earring
30,Male,6777,Dark,2,"Cap,Normal Beard Black",0,
31,Female,8104,Dark,1,Stringy Hair,0,
32,Male,4393,Light,2,"Frown,VR",0,
33,Male,7635,Light,1,Peak Spike,0,
34,Female,9448,Light,2,"Frumpy Hair,Purple Lipstick",0,
35,Male,3351,Dark,5,"Cigarette,Earring,Horned Rim Glasses,Normal Beard,Peak Spike",0,
36,Female,2165,Mid,1,Red Mohawk,0,
37,Female,8136,Dark,2,"Cap,Clown Eyes Blue",0,
38,Female,9353,Light,3,"Classic Shades,Frumpy Hair,Purple Lipstick",0,
39,Male,5226,Light,3,"Frown,Regular Shades,Shaved Head",0,
40,Male,4247,Light,3,"Bandana,Chinstrap,Smile",0,
41,Male,7666,Dark,3,"Clown Eyes Green,Muttonchops,Wild Hair",0,
42,Female,9586,Dark,2,"Cigarette,Wild Hair",0,
43,Female,2166,Mid,1,Half Shaved,0,
44,Male,8099,Light,1,Messy Hair,0,
45,Male,4576,Mid,2,"Earring,Mole",0,
46,Female,2684,Mid,2,"Purple Lipstick,Straight Hair Dark",0,
47,Male,8051,Dark,1,Knitted Cap,0,
48,Male,9206,Light,2,"Big Shades,Mohawk",0,
49,Female,5447,Dark,2,"Bandana,Purple Eye Shadow",0,
50,Male,902,Mid,2,"Fedora,Spots",0,
51,Male,7731,Mid,3,"Earring,Muttonchops,Wild Hair",0,
52,Male,8864,Dark,4,"Earring,Knitted Cap,Nerd Glasses,Shadow Beard",0,
53,Female,2825,Light,2,"Big Shades,Straight Hair",0,
54,Male,4934,Dark,1,Hoodie,0,
55,Male,4502,Light,1,Eye Patch,0,
56,Male,7421,Dark,1,Shaved Head,0,
57,Male,8037,Light,1,Headband,0,
58,Male,4876,Mid,2,"Hoodie,Normal Beard Black",0,
59,Male,1420,Albino,2,"Cowboy Hat,Muttonchops",0,
60,Female,9849,Light,2,"Purple Lipstick,Stringy Hair",0,
61,Female,3026,Light,1,Dark Hair,0,
62,Female,8506,Dark,4,"Clown Eyes Blue,Earring,Hot Lipstick,Mohawk Dark",0,
63,Male,7434,Dark,3,"Earring,Shaved Head,Small Shades",0,
64,Female,1719,Mid,2,"Purple Lipstick,Straight Hair Blonde",0,
65,Female,7127,Mid,2,"Eye Mask,Headband",0,
66,Female,3656,Dark,1,Tassle Hat,0,
67,Female,2067,Dark,3,"3D Glasses,Half Shaved,Purple Lipstick",0,
68,Male,7570,Dark,2,"Do-rag,Nerd Glasses",0,
69,Male,3818,Mid,2,"Fedora,Normal Beard Black",0,
70,Female,8742,Mid,4,"Cigarette,Crazy Hair,Earring,Regular Shades",0,
71,Female,2011,Light,3,"Green Eye Shadow,Half Shaved,Purple Lipstick",0,
72,Male,3825,Dark,4,"Earring,Fedora,Nerd Glasses,Normal Beard",0,
73,Female,9952,Mid,3,"Bandana,Black Lipstick,Earring",0,
74,Male,8981,Dark,3,"Earring,Mohawk Dark,Shadow Beard",0,
75,Male,8839,Light,3,"Eye Patch,Knitted Cap,Shadow Beard",0,
76,Male,7590,Light,2,"Cigarette,Do-rag",0,
77,Male,5613,Dark,2,"Handlebars,Stringy Hair",0,
78,Male,5546,Mid,3,"Eye Patch,Handlebars,Knitted Cap",0,
79,Male,7010,Dark,2,"Mohawk Dark,Normal Beard",0,
80,Male,6696,Albino,2,"Mustache,Wild Hair",0,
81,Male,8251,Light,2,"Headband,Small Shades",0,
82,Male,8033,Albino,1,Headband,0,
83,Male,5861,Light,3,"Shaved Head,Small Shades,Vape",0,
84,Male,9656,Light,3,"Big Shades,Earring,Messy Hair",0,
85,Female,8042,Dark,1,Crazy Hair,0,
86,Female,5751,Dark,4,"Earring,Green Eye Shadow,Hot Lipstick,Knitted Cap",0,
87,Male,4998,Light,2,"Earring,Hoodie",1,Earring
88,Female,8231,Light,2,"Cap,Hot Lipstick",0,
89,Female,125,Dark,1,Choker,0,
90,Male,4954,Mid,2,"Eye Patch,Hoodie",0,
91,Female,2730,Light,2,"Clown Nose,Straight Hair",0,
92,Female,729,Light,3,"Nerd Glasses,Pink With Hat,Purple Lipstick",0,
93,Female,8114,Light,1,Bandana,0,
94,Female,720,Dark,3,"Earring,Pink With Hat,Regular Shades",1,Earring
95,Male,9339,Mid,2,"Earring,Mohawk",0,
96,Female,2161,Light,1,Blonde Bob,0,
97,Male,8093,Mid,1,Wild Hair,0,
98,Female,436,Light,3,"Black Lipstick,Dark Hair,Welding Goggles",0,
99,Male,4997,Mid,2,"Cigarette,Hoodie",0,
100,Female,3658,Mid,1,Tassle Hat,0,
101,Male,4069,Mid,2,"Nerd Glasses,Police Cap",0,
102,Male,2078,Mid,2,"Luxurious Beard,Vampire Hair",0,
103,Female,2005,Dark,3,"Black Lipstick,Blonde Bob,Green Eye Shadow",0,
104,Male,6805,Dark,4,"Crazy Hair,Earring,Eye Patch,Normal Beard Black",0,
105,Male,8074,Light,1,Mohawk Thin,0,
106,Female,1589,Light,1,Straight Hair Blonde,0,
107,Male,8039,Mid,1,Headband,0,
108,Female,8682,Light,2,"Black Lipstick,Headband",0,
109,Male,3778,Dark,3,"Earring,Fedora,Handlebars",0,
110,Female,9046,Dark,4,"Cigarette,Earring,Mohawk Dark,Purple Lipstick",0,
111,Male,5551,Dark,2,"Handlebars,Knitted Cap",0,
112,Male,1877,Mid,4,"Bandana,Big Beard,Earring,Horned Rim Glasses",0,
113,Male,8066,Albino,1,Mohawk,0,
114,Female,2158,Dark,1,Red Mohawk,0,
115,Female,2421,Dark,2,"Earring,Half Shaved",1,Earring
116,Female,220,Dark,4,"Black Lipstick,Clown Eyes Blue,Earring,Tiara",0,
117,Zombie,504,Zombie,2,"Front Beard Dark,Messy Hair",0,
118,Female,9954,Light,2,"Bandana,Black Lipstick",0,
119,Male,8245,Mid,2,"Cap,Earring",0,
120,Female,3703,Mid,2,"Big Shades,Tassle Hat",0,
121,Female,243,Light,2,"Purple Lipstick,Tiara",0,
122,Male,9323,Light,2,"Cigarette,Mohawk",0,
123,Female,868,Mid,2,"Spots,Wild White Hair",0,
124,Male,6760,Mid,3,"Earring,Normal Beard Black,Peak Spike",0,
125,Female,3693,Light,3,"Big Shades,Purple Lipstick,Tassle Hat",0,
126,Male,8605,Albino,4,"Cigarette,Earring,Eye Patch,Headband",0,
127,Female,8453,Mid,2,"Clown Eyes Green,Stringy Hair",0,
128,Male,3938,Light,4,"Chinstrap,Mole,Police Cap,Vape",1,Mole
129,Male,3389,Light,4,"Cap Forward,Cigarette,Gold Chain,Horned Rim Glasses",0,
130,Male,8075,Light,1,Mohawk,0,
131,Female,2694,Mid,2,"Hot Lipstick,Straight Hair Dark",0,
132,Male,8070,Dark,1,Mohawk Thin,0,
133,Male,3149,Albino,3,"Chinstrap,Pipe,Purple Hair",0,
134,Male,4021,Mid,1,Police Cap,0,
135,Male,4708,Light,1,Cap Forward,0,
136,Male,7444,Dark,3,"Clown Eyes Green,Shadow Beard,Shaved Head",0,
137,Male,8097,Dark,1,Messy Hair,0,
