,id,types,rarity,skin,total_traits,traits
0,3000,Male,7044,Mid,2,"Frumpy Hair,Normal Beard"
1,3001,Male,2328,Dark,2,"Nerd Glasses,Vampire Hair"
2,3002,Female,5394,Dark,2,"Mohawk,Purple Eye Shadow"
3,3003,Male,5975,Dark,2,"Do-rag,Front Beard"
4,3004,Female,9219,Mid,4,"Earring,Mohawk,Nerd Glasses,Purple Lipstick"
5,3005,Female,475,Mid,2,"Messy Hair,Welding Goggles"
6,3006,Male,6025,Mid,2,"Crazy Hair,Front Beard"
7,3007,Male,6514,Mid,2,"3D Glasses,Wild Hair"
8,3008,Female,3699,Dark,2,"Horned Rim Glasses,Tassle Hat"
9,3009,Male,3352,Dark,5,"Big Shades,Cigarette,Earring,Normal Beard,Peak Spike"
10,3010,Male,2261,Mid,2,"Shadow Beard,Vampire Hair"
11,3011,Male,23,Dark,6,"Earring,Frown,Normal Beard,Pipe,Small Shades,Vampire Hair,Hidden Frown"
12,3012,Male,3471,Light,2,"Gold Chain,Stringy Hair"
13,3013,Male,3406,Mid,3,"Chinstrap,Gold Chain,Stringy Hair"
14,3014,Male,9496,Dark,3,"Horned Rim Glasses,Shadow Beard,Wild Hair"
15,3015,Female,447,Mid,3,"Crazy Hair,Hot Lipstick,Welding Goggles"
16,3016,Male,4266,Light,4,"Clown Eyes Green,Messy Hair,Normal Beard Black,Smile,Hidden Smile"
17,3017,Male,1787,Dark,4,"Big Beard,Eye Mask,Frown,Knitted Cap,Hidden Frown"
18,3018,Male,7053,Albino,3,"Cigarette,Normal Beard,Wild Hair"
19,3019,Male,6206,Light,3,"Chinstrap,Eye Patch,Mohawk Dark"
20,3020,Male,6315,Mid,3,"Cigarette,Do-rag,Luxurious Beard"
21,3021,Male,5507,Mid,3,"Handlebars,Messy Hair,VR"
22,3022,Male,4946,Light,2,"Clown Eyes Green,Hoodie"
23,3023,Male,9896,Mid,3,"Bandana,Earring,Shadow Beard"
24,3024,Male,7979,Albino,2,"Frumpy Hair,VR"
