,Amount,From,To,Txn,Type,punk_id,amount_ethereum,amount_dollars
0,250Ξ ($1.03M),0x983ace,,"May 10, 2021",Bid Withdrawn,0.0,250.0,1030000.0
1,"250Ξ ($537,615)",0x983ace,,"Apr 11, 2021",Bid,0.0,250.0,537615.0
2,"100Ξ ($160,973)",0xd7510a,,"Mar 03, 2021",Bid Withdrawn,0.0,100.0,160973.0
3,"100Ξ ($188,897)",0xd7510a,,"Feb 20, 2021",Bid,0.0,100.0,188897.0
4,"69Ξ ($25,532)",natealex,,"Sep 16, 2020",Bid Withdrawn,0.0,69.0,25532.0
5,"69Ξ ($25,104)",natealex,,"Sep 15, 2020",Bid,0.0,69.0,25104.0
6,"49Ξ ($7,031)",natealex,,"Jan 11, 2020",Bid Withdrawn,0.0,49.0,7031.0
7,"49Ξ ($6,786)",natealex,,"Jan 09, 2020",Bid,0.0,49.0,6786.0
8,"44Ξ ($6,329)",natealex,,"Jan 08, 2020",Bid Withdrawn,0.0,44.0,6329.0
9,"44Ξ ($5,905)",natealex,,"Dec 30, 2019",Bid,0.0,44.0,5905.0
10,0Ξ ($1),natealex,,"Dec 30, 2019",Bid Withdrawn,0.0,0.0,1.0
11,0Ξ ($1),natealex,,"Dec 30, 2019",Bid,0.0,0.0,1.0
12,"18.50Ξ ($4,544)",GoWest23,,"May 23, 2019",Bid Withdrawn,0.0,18.5,4544.0
13,"18.50Ξ ($4,504)",GoWest23,,"May 22, 2019",Bid,0.0,18.5,4504.0
14,"40Ξ ($6,597)",PsyRen,,"Apr 02, 2019",Bid Withdrawn,0.0,40.0,6597.0
15,"40Ξ ($6,597)",PsyRen,,"Apr 02, 2019",Bid,0.0,40.0,6597.0
17,"25Ξ ($2,822)",0xe08c32,,"Nov 30, 2018",Bid,0.0,25.0,2822.0
20,"13Ξ ($3,132)",0x7760e0,,"Jul 07, 2017",Bid,0.0,13.0,3132.0
21,"13Ξ ($3,132)",0x00d7c9,,"Jul 07, 2017",Bid,0.0,13.0,3132.0
25,1.60Ξ ($386),0xa0a59c,,"Jul 07, 2017",Bid,0.0,1.6,386.0
26,1.53Ξ ($422),0x7760e0,,"Jul 03, 2017",Bid,0.0,1.53,422.0
27,1.52Ξ ($422),0xa0a59c,,"Jul 03, 2017",Bid,0.0,1.52,422.0
28,1.30Ξ ($369),0x7760e0,,"Jul 02, 2017",Bid,0.0,1.3,369.0
29,1.30Ξ ($369),0xa0a59c,,"Jul 02, 2017",Bid,0.0,1.3,369.0
30,0.05Ξ ($14),0x717403,,"Jun 25, 2017",Bid,0.0,0.05,14.0
32,0.98Ξ ($320),0x00d7c9,,"Jun 23, 2017",Bid,0.0,0.98,320.0
33,0.67Ξ ($219),0x948a10,,"Jun 23, 2017",Bid,0.0,0.67,219.0
37,"60Ξ ($36,305)",0xcf6165,,"Nov 30, 2020",Bid,1.0,60.0,36305.0
39,"50Ξ ($30,187)",natealex,,"Nov 23, 2020",Bid Withdrawn,1.0,50.0,30187.0
40,"50Ξ ($29,918)",natealex,,"Nov 23, 2020",Bid,1.0,50.0,29918.0
46,"40Ξ ($8,107)",DANNY,,"May 14, 2020",Bid Withdrawn,1.0,40.0,8107.0
48,"40Ξ ($8,088)",DANNY,,"May 14, 2020",Bid,1.0,40.0,8088.0
63,"21.50Ξ ($3,575)",GoWest23,,"Apr 06, 2019",Bid Withdrawn,1.0,21.5,3575.0
64,"21.50Ξ ($3,575)",GoWest23,,"Apr 06, 2019",Bid,1.0,21.5,3575.0
67,5Ξ ($747),jmg,,"Jan 03, 2019",Bid Withdrawn,1.0,5.0,747.0
69,5Ξ ($704),jmg,,"Dec 24, 2018",Bid,1.0,5.0,704.0
73,0.05Ξ ($50),0x55c016,,"Feb 03, 2018",Bid Withdrawn,1.0,0.05,50.0
74,0.05Ξ ($24),0x55c016,,"Dec 05, 2017",Bid,1.0,0.05,24.0
78,0.05Ξ ($16),0x7760e0,,"Jun 28, 2017",Bid,1.0,0.05,16.0
81,0.42Ξ ($107),0xa0a59c,,"Jun 26, 2017",Bid,1.0,0.42,107.0
82,0.35Ξ ($98),0x717403,,"Jun 25, 2017",Bid,1.0,0.35,98.0
83,0.35Ξ ($98),sov,,"Jun 25, 2017",Bid,1.0,0.35,98.0
84,<0.01Ξ ($1),0xa0a59c,,"Jun 25, 2017",Bid,1.0,0.01,1.0
85,0.20Ξ ($61),sov,,"Jun 24, 2017",Bid Withdrawn,1.0,0.2,61.0
86,0.20Ξ ($61),sov,,"Jun 24, 2017",Bid,1.0,0.2,61.0
89,<0.01Ξ ($6),0x7f6498,,"Jun 04, 2021",Bid,2.0,0.01,6.0
90,"9.50Ξ ($12,718)",0x4c9692,,"Jan 30, 2021",Bid Withdrawn,2.0,9.5,12718.0
91,"9.50Ξ ($12,783)",0x4c9692,,"Jan 28, 2021",Bid,2.0,9.5,12783.0
92,"20Ξ ($6,914)",DANNY,,"Sep 21, 2020",Bid Withdrawn,2.0,20.0,6914.0
93,"20Ξ ($7,400)",DANNY,,"Sep 20, 2020",Bid,2.0,20.0,7400.0
94,"9Ξ ($3,532)",0x9b35db,,"Aug 24, 2020",Bid Withdrawn,2.0,9.0,3532.0
95,"9Ξ ($3,504)",0x9b35db,,"Aug 22, 2020",Bid,2.0,9.0,3504.0
96,"8Ξ ($1,125)",natealex,,"Jan 07, 2020",Bid Withdrawn,2.0,8.0,1125.0
97,"8Ξ ($1,071)",natealex,,"Jan 04, 2020",Bid,2.0,8.0,1071.0
98,3.35Ξ ($431),jmg,,"Jan 01, 2020",Bid Withdrawn,2.0,3.35,431.0
99,3.35Ξ ($433),jmg,,"Dec 31, 2019",Bid,2.0,3.35,433.0
100,4Ξ ($500),jmg,,"Dec 28, 2019",Bid Withdrawn,2.0,4.0,500.0
101,4Ξ ($724),jmg,,"Oct 02, 2019",Bid,2.0,4.0,724.0
102,3.50Ξ ($634),jmg,,"Oct 02, 2019",Bid Withdrawn,2.0,3.5,634.0
103,3.50Ξ ($634),jmg,,"Sep 12, 2019",Bid,2.0,3.5,634.0
104,2.70Ξ ($489),jmg,,"Sep 12, 2019",Bid Withdrawn,2.0,2.7,489.0
105,2.70Ξ ($504),jmg,,"Aug 25, 2019",Bid,2.0,2.7,504.0
106,1.10Ξ ($270),0x7760e0,,"Jul 08, 2017",Bid,2.0,1.1,270.0
107,1.10Ξ ($270),0x00d7c9,,"Jul 08, 2017",Bid,2.0,1.1,270.0
108,1Ξ ($246),0x7760e0,,"Jul 08, 2017",Bid,2.0,1.0,246.0
109,1Ξ ($246),0x00d7c9,,"Jul 08, 2017",Bid,2.0,1.0,246.0
110,0.51Ξ ($123),0x8b27de,,"Jul 07, 2017",Bid,2.0,0.51,123.0
111,0.42Ξ ($117),0xa0a59c,,"Jun 25, 2017",Bid Withdrawn,2.0,0.42,117.0
112,0.42Ξ ($117),0xa0a59c,,"Jun 25, 2017",Bid,2.0,0.42,117.0
114,"33Ξ ($11,638)",jmg,,"Oct 04, 2020",Bid Withdrawn,3.0,33.0,11638.0
115,"33Ξ ($11,944)",jmg,,"Sep 28, 2020",Bid,3.0,33.0,11944.0
116,"5Ξ ($1,215)",Alex3422,,"Jun 06, 2020",Bid Withdrawn,3.0,5.0,1215.0
117,"5Ξ ($1,197)",Alex3422,,"Jun 01, 2020",Bid,3.0,5.0,1197.0
118,1.10Ξ ($270),0x7760e0,,"Jul 08, 2017",Bid,3.0,1.1,270.0
119,1.10Ξ ($270),0x00d7c9,,"Jul 08, 2017",Bid,3.0,1.1,270.0
120,1Ξ ($246),0x7760e0,,"Jul 08, 2017",Bid,3.0,1.0,246.0
121,1Ξ ($246),0x00d7c9,,"Jul 08, 2017",Bid,3.0,1.0,246.0
122,0.05Ξ ($14),0x7760e0,,"Jul 02, 2017",Bid,3.0,0.05,14.0
123,0.37Ξ ($104),0x00d7c9,,"Jun 30, 2017",Bid Withdrawn,3.0,0.37,104.0
124,0.37Ξ ($117),0x00d7c9,,"Jun 28, 2017",Bid,3.0,0.37,117.0
125,0.06Ξ ($15),0x717403,,"Jun 26, 2017",Bid,3.0,0.06,15.0
