punk_id,hidden_trait_id
0,8
5,8
29,8
87,8
94,8
115,8
128,5
154,8
176,8
193,8
210,8
225,8
250,8
264,8
269,8
294,8
319,8
324,8
326,8
331,8
345,8
357,8
378,8
380,8
394,8
412,8
422,8
430,8
445,8
488,8
501,8
504,8
525,8
563,8
573,5
579,8
585,8
588,8
596,8
598,8
621,6
623,6
654,8
660,8
671,8
683,8
684,8
714,8
717,8
719,8
755,8
767,8
825,8
843,8
874,8
875,8
877,8
879,8
883,8
894,8
924,8
939,8
952,8
954,8
959,1
960,8
965,8
986,6
1010,8
1024,8
1034,8
1070,8
1083,8
1110,8
1140,8
1192,8
1199,8
1225,8
1246,8
1253,8
1262,8
1265,8
1271,8
1296,8
1303,1
1320,8
1390,8
1399,8
1400,5
1414,8
1434,8
1441,8
1442,8
1475,8
1476,8
1477,8
1484,8
1489,8
1504,8
1506,4
1535,8
1544,8
1563,8
1598,8
1635,8
1636,1
1642,5
1645,8
1652,8
1653,8
1679,8
1694,8
1702,1
1718,5
1746,8
1748,1
1752,8
1828,8
1851,1
1878,8
1913,8
1918,8
1931,8
1937,8
1951,8
1984,8
1990,8
2015,8
2046,8
2058,8
2074,8
2097,6
2114,8
2120,8
2131,8
2133,8
2176,8
2187,7
2190,8
2202,8
2264,8
2274,8
2283,8
2311,8
2325,8
2344,1
2350,5
2356,8
2357,5
2360,8
2435,8
2464,8
2486,8
2496,8
2515,8
2525,8
2546,8
2549,8
2551,7
2574,8
2588,8
2621,8
2623,8
2624,8
2644,6
2654,8
2672,8
2710,8
2715,1
2718,1
2723,8
2731,8
2751,8
2763,1
2799,8
2807,8
2814,8
2815,8
2819,5
2826,8
2829,8
2836,8
2843,8
2852,8
2894,8
2896,8
2900,8
2940,8
2945,8
2946,8
2961,1
3011,1
3016,6
3017,1
3074,8
3090,1
3096,8
3127,5
3131,8
3176,8
3177,1
3190,8
3227,8
3240,8
3254,8
3267,8
3277,8
3280,8
3293,8
3296,5
3305,1
3311,8
3333,8
3347,8
3370,8
3377,8
3383,4
3401,8
3409,8
3424,8
3437,8
3441,8
3490,8
3494,8
3503,8
3518,8
3519,8
3534,8
3556,8
3573,8
3574,8
3615,8
3625,1
3629,8
3649,7
3671,5
3672,8
3673,8
3677,6
3678,8
3686,8
3700,1
3706,8
3733,8
3741,8
3773,8
3791,8
3798,8
3810,6
3821,8
3827,8
3841,8
3852,1
3871,6
3908,7
3909,8
3942,8
3943,3
3970,8
3975,8
3976,8
3999,8
4016,8
4019,8
4030,8
4036,8
4047,8
4056,8
4065,8
4094,3
4106,8
4151,8
4166,8
4176,8
4176,7
4190,8
4214,8
4231,8
4231,7
4234,8
4245,8
4254,8
4286,8
4302,8
4309,8
4316,8
4319,8
4332,8
4352,6
4371,1
4383,8
4405,8
4414,5
4415,6
4424,8
4444,5
4465,8
4467,8
4468,8
4525,8
4528,1
4558,6
4612,8
4620,5
4642,5
4667,1
4668,8
4677,8
4683,8
4697,6
4702,8
4716,8
4724,8
4730,1
4767,8
4784,8
4788,8
4799,8
4820,8
4837,5
4884,8
4898,8
4921,8
4934,8
4981,8
5010,7
5024,8
5026,8
5027,8
5053,8
5055,8
5057,5
5060,8
5083,8
5098,1
5101,1
5108,8
5118,7
5149,6
5153,8
5154,8
5159,8
5166,8
5211,8
5219,7
5232,8
5276,1
5282,8
5295,8
5298,8
5313,5
5331,8
5333,8
5373,8
5377,6
5423,1
5446,8
5457,8
5471,8
5486,8
5490,5
5495,5
5497,8
5513,8
5545,8
5548,1
5559,5
5597,5
5612,8
5619,8
5622,8
5629,8
5677,8
5680,4
5716,1
5723,8
5725,8
5732,6
5735,8
5743,8
5767,5
5774,6
5825,8
5838,7
5874,8
5879,8
5935,1
5949,8
5949,5
5949,7
6005,8
6010,8
6029,8
6047,8
6055,8
6086,8
6093,7
6138,8
6144,8
6178,8
6190,8
6221,8
6224,8
6226,8
6265,8
6277,8
6340,8
6350,8
6358,7
6370,8
6396,5
6416,8
6420,8
6422,7
6442,8
6444,5
6451,8
6451,7
6466,5
6505,8
6522,8
6527,5
6528,8
6532,8
6560,8
6562,5
6563,8
6569,8
6613,8
6626,8
6634,8
6665,8
6666,8
6667,8
6674,8
6693,8
6720,8
6724,1
6753,8
6759,8
6760,2
6778,8
6780,8
6793,8
6944,8
6954,8
6957,5
6990,8
6997,8
7015,8
7018,8
7044,8
7045,8
7055,2
7071,7
7090,8
7125,8
7141,8
7154,8
7158,8
7162,8
7180,8
7198,6
7201,6
7211,8
7212,7
7217,8
7219,8
7234,8
7260,8
7270,1
7294,8
7296,8
7301,8
7326,8
7331,1
7332,6
7338,8
7348,8
7354,8
7368,1
7415,8
7432,8
7461,4
7469,8
7500,8
7511,8
7528,8
7536,5
7587,8
7602,1
7663,8
7683,4
7689,7
7692,1
7710,8
7740,1
7753,8
7778,7
7825,8
7831,8
7835,6
7844,8
7852,8
7887,8
7898,8
7915,8
7917,8
7948,8
7967,8
7971,8
7973,8
7978,8
8030,8
8032,8
8034,8
8035,8
8079,6
8101,5
8112,5
8120,1
8152,6
8179,1
8183,8
8187,8
8191,5
8191,1
8194,8
8201,8
8248,8
8279,8
8290,5
8312,8
8369,8
8387,8
8399,8
8416,8
8440,8
8445,6
8479,8
8483,8
8539,8
8608,6
8617,8
8618,8
8621,8
8674,8
8700,1
8701,5
8708,2
8719,8
8767,8
8770,8
8770,5
8771,8
8772,1
8773,8
8774,8
8787,8
8802,8
8867,7
8884,8
8889,6
8907,8
8908,6
8929,5
8932,8
8936,8
9038,6
9042,8
9053,8
9064,8
9068,8
9078,8
9090,1
9126,8
9130,6
9156,1
9160,7
9188,8
9205,8
9213,8
9224,8
9237,8
9253,8
9262,8
9278,8
9279,8
9288,8
9324,8
9336,6
9354,8
9355,1
9358,8
9366,8
9368,8
9369,8
9382,8
9393,8
9395,8
9413,8
9417,8
9430,8
9442,5
9454,8
9464,5
9470,8
9482,8
9491,8
9541,5
9550,8
9559,8
9579,8
9584,8
9600,6
9608,8
9611,8
9629,8
9641,8
9648,8
9663,8
9723,5
9819,5
9828,8
9834,8
9848,8
9861,8
9882,8
9952,6
9957,7
9960,8
9962,5
9963,8
9965,8
9966,8
9982,8
