punk_id,trait_id
0,1
0,2
0,3
1,4
1,5
2,6
3,7
3,8
3,6
4,9
4,2
4,10
4,6
5,2
5,11
5,12
6,13
7,14
7,15
7,16
8,17
8,18
9,19
9,20
9,21
10,22
10,4
11,23
11,24
11,25
12,26
12,27
13,9
13,23
13,28
14,29
14,30
14,8
15,17
15,31
15,6
16,2
16,32
16,33
17,34
17,4
18,35
18,36
19,37
19,38
19,29
20,39
21,40
21,2
21,18
22,30
22,27
23,13
23,2
23,41
24,42
24,5
25,16
26,43
27,2
27,44
28,9
28,39
29,2
29,11
29,38
30,45
30,46
31,33
32,34
32,47
33,44
34,48
34,27
35,49
35,2
35,38
35,50
35,44
36,51
37,45
37,14
38,40
38,48
38,27
39,34
39,31
39,52
40,37
40,53
40,5
41,24
41,36
41,6
42,49
42,6
43,11
44,18
45,2
45,54
46,27
46,25
47,55
48,9
48,4
49,37
49,12
50,56
50,15
51,2
51,36
51,6
52,2
52,55
52,7
52,57
53,9
53,58
54,59
55,60
56,52
57,61
58,59
58,46
59,62
59,36
60,27
60,33
61,43
62,14
62,2
62,29
62,42
63,2
63,52
63,32
64,27
64,28
65,35
65,61
66,63
67,64
67,11
67,27
68,13
68,7
69,56
69,46
70,49
70,39
70,2
70,31
71,3
71,11
71,27
72,2
72,56
72,7
72,50
73,37
73,23
73,2
74,2
74,42
74,57
75,60
75,55
75,57
76,49
76,13
77,41
77,33
78,60
78,41
78,55
79,42
79,50
80,65
80,6
81,61
81,32
82,61
83,52
83,32
83,66
84,9
84,2
84,18
85,39
86,2
86,3
86,29
86,55
87,2
87,59
88,45
88,29
89,67
90,60
90,59
91,20
91,58
92,7
92,68
92,27
93,37
94,2
94,68
94,31
95,2
95,4
96,1
97,6
98,23
98,43
98,69
99,49
99,59
100,63
101,7
101,21
102,17
102,70
103,23
103,1
103,3
104,39
104,2
104,60
104,46
105,71
106,28
107,61
108,23
108,61
109,2
109,56
109,41
110,49
110,2
110,42
110,27
111,41
111,55
112,37
112,19
112,2
112,38
113,4
114,51
115,2
115,11
116,23
116,14
116,2
116,72
117,73
117,18
118,37
118,23
119,45
119,2
120,9
120,63
121,27
121,72
122,49
122,4
123,15
123,16
124,2
124,46
124,44
125,9
125,27
125,63
126,49
126,2
126,60
126,61
127,24
127,33
128,53
128,54
128,21
128,66
129,74
129,49
129,75
129,38
130,4
131,29
131,25
132,71
133,53
133,8
133,76
134,21
135,74
136,24
136,57
136,52
137,18
138,38
138,33
139,13
139,60
140,29
141,64
141,53
141,61
142,4
142,31
143,77
143,38
144,49
144,48
144,17
145,6
146,2
146,4
147,71
147,31
148,59
149,9
149,17
149,18
150,2
150,27
151,33
151,47
152,24
152,42
153,45
153,2
153,35
154,2
154,59
154,57
155,78
155,20
156,74
156,32
157,45
157,49
158,10
158,31
158,6
159,2
159,33
160,14
160,79
160,27
161,48
161,29
162,48
162,38
162,46
163,60
163,52
164,33
164,47
165,49
165,73
165,42
166,31
166,52
167,61
167,29
168,1
168,22
168,80
169,29
169,31
169,16
170,40
170,54
170,44
171,2
171,54
171,33
172,64
172,1
172,27
173,14
173,29
173,18
173,54
173,8
174,2
174,38
174,6
175,9
175,45
176,2
176,27
176,31
176,6
177,37
177,17
178,56
179,40
179,71
179,57
180,29
180,30
181,4
182,44
183,57
184,1
184,3
185,29
185,16
186,39
186,65
187,58
188,2
188,7
188,44
189,71
189,27
190,61
191,4
192,20
192,2
192,71
192,7
193,2
193,3
193,63
194,24
194,6
195,7
195,28
196,9
196,29
196,63
197,60
197,48
198,77
198,17
199,26
199,40
200,6
201,22
201,49
201,43
201,29
202,2
202,61
202,27
203,81
203,18
203,31
204,39
204,31
205,9
205,42
205,46
206,74
206,49
206,20
207,60
207,44
207,8
208,64
208,2
208,52
209,29
209,33
210,2
210,25
211,10
211,71
212,39
212,29
213,39
214,73
214,4
215,4
216,37
217,53
217,2
217,42
218,45
218,41
218,54
218,31
219,37
219,14
219,2
219,82
220,9
220,61
221,49
221,40
221,36
221,33
222,13
222,8
222,32
223,39
223,7
223,50
224,49
224,2
224,61
224,7
225,2
225,29
225,83
226,29
227,16
228,44
228,32
229,49
229,18
230,55
230,17
231,2
231,8
231,33
232,22
232,6
233,37
233,29
234,55
234,7
235,49
235,48
236,36
236,70
237,4
237,31
238,24
238,25
239,34
239,10
239,4
240,9
240,28
241,84
242,23
242,33
243,49
243,2
243,81
243,21
244,27
244,31
244,6
245,43
246,37
246,2
246,17
247,3
247,42
248,18
248,12
249,83
250,24
250,2
250,48
251,3
251,42
252,74
252,54
253,26
253,24
254,56
255,65
255,52
256,2
256,60
256,56
256,66
257,45
257,34
258,74
258,41
259,74
259,2
259,35
260,64
260,76
261,23
261,16
262,26
262,31
263,18
263,36
264,2
264,16
265,74
265,2
265,75
266,13
266,2
266,32
267,20
267,56
268,55
269,2
269,59
269,17
269,32
270,14
270,51
271,33
272,85
272,18
273,9
273,74
274,45
274,2
274,41
274,31
275,12
275,27
275,33
276,39
277,51
278,23
278,25
279,22
279,27
279,28
280,2
282,40
282,25
283,48
283,29
284,71
285,43
285,27
286,10
286,6
287,49
287,4
287,12
288,52
289,60
289,71
290,84
291,2
291,71
292,23
292,63
293,41
293,42
294,9
294,2
294,59
295,34
295,52
296,71
297,39
297,36
298,11
299,13
299,36
300,10
300,61
301,3
301,29
301,51
302,37
302,22
302,27
303,27
303,51
304,44
304,57
305,1
305,27
305,47
306,66
306,6
307,53
307,48
308,38
308,18
308,54
309,9
309,52
310,37
310,40
310,2
310,66
311,81
311,48
312,74
312,53
313,42
313,27
314,35
314,21
315,23
315,49
315,16
316,37
317,37
317,53
317,34
318,37
318,49
318,29
319,2
319,25
320,33
321,44
322,23
322,24
322,68
323,42
324,1
324,2
324,29
325,65
325,21
325,32
326,2
326,29
326,16
327,39
328,37
328,38
329,37
329,60
330,24
330,55
331,2
331,27
331,63
332,38
332,33
333,12
333,27
333,28
334,19
334,6
335,78
336,7
336,50
336,86
337,48
338,18
338,32
339,9
339,23
339,45
339,2
339,54
340,64
340,61
340,87
340,36
341,2
341,18
342,37
342,31
343,21
343,57
344,77
345,2
345,63
346,76
347,38
347,55
348,18
348,7
348,82
349,2
349,73
349,42
350,33
351,10
351,54
351,76
352,3
352,58
353,37
353,3
354,49
354,21
355,23
355,75
355,3
355,16
356,33
357,2
357,63
358,17
358,4
358,32
359,29
359,18
360,37
360,46
361,42
362,35
362,44
362,57
363,62
363,7
363,57
364,59
364,46
365,13
365,50
366,2
366,35
366,4
367,78
368,48
368,27
369,2
369,56
369,17
370,49
370,44
370,82
370,32
371,48
372,74
373,2
373,61
374,37
374,14
375,3
375,6
376,11
376,7
377,49
377,2
377,61
377,50
377,31
378,2
378,48
379,2
379,71
379,27
380,23
380,2
380,6
381,55
381,27
382,49
382,30
383,3
383,28
384,37
384,40
384,27
385,67
385,6
386,13
386,2
387,74
387,75
387,8
388,14
388,29
388,28
389,13
389,82
390,18
391,23
