,Amount,From,To,Txn,Type,punk_id,amount_ethereum,amount_dollars
18,"100Ξ ($18,303)",,,"Sep 12, 2018",Offered,0.0,100.0,18303.0
19,"200Ξ ($138,566)",,,"Dec 16, 2017",Offered,0.0,200.0,138566.0
22,"400Ξ ($96,376)",,,"Jul 07, 2017",Offered,0.0,400.0,96376.0
38,"79.50Ξ ($46,842)",,,"Nov 25, 2020",Offered,1.0,79.5,46842.0
41,"119.10Ξ ($65,980)",,,"Nov 22, 2020",Offered,1.0,119.1,65980.0
42,"249.90Ξ ($90,921)",,,"Sep 15, 2020",Offered,1.0,249.9,90921.0
44,"149.50Ξ ($54,973)",,,"Sep 10, 2020",Offered,1.0,149.5,54973.0
47,"299Ξ ($60,811)",,,"May 14, 2020",Offered,1.0,299.0,60811.0
49,"189Ξ ($40,461)",,,"May 08, 2020",Offered,1.0,189.0,40461.0
51,"349Ξ ($91,274)",,,"Feb 22, 2020",Offered,1.0,349.0,91274.0
53,"89Ξ ($25,310)",,,"Feb 18, 2020",Offered,1.0,89.0,25310.0
55,"699Ξ ($149,453)",,,"Feb 06, 2020",Offered,1.0,699.0,149453.0
57,"599Ξ ($87,406)",,,"Dec 10, 2019",Offered,1.0,599.0,87406.0
59,"895Ξ ($155,461)",,,"May 06, 2019",Offered,1.0,895.0,155461.0
65,"31Ξ ($4,153)",,,"Mar 25, 2019",Offered,1.0,31.0,4153.0
66,"32Ξ ($3,824)",,,"Feb 08, 2019",Offered,1.0,32.0,3824.0
68,"32.14Ξ ($4,210)",,,"Dec 25, 2018",Offered,1.0,32.14,4210.0
70,"45Ξ ($5,920)",,,"Dec 23, 2018",Offered,1.0,45.0,5920.0
71,"50Ξ ($5,644)",,,"Nov 30, 2018",Offered,1.0,50.0,5644.0
72,"75Ξ ($13,727)",,,"Sep 12, 2018",Offered,1.0,75.0,13727.0
75,"100Ξ ($46,281)",,,"Dec 03, 2017",Offered,1.0,100.0,46281.0
76,"300Ξ ($72,282)",,,"Jul 07, 2017",Offered,1.0,300.0,72282.0
79,"300Ξ ($85,842)",,,"Jun 27, 2017",Offered,1.0,300.0,85842.0
266,"555Ξ ($986,357)",,,"Feb 17, 2021",Offered,14.0,555.0,986357.0
267,"444Ξ ($736,920)",,,"Feb 07, 2021",Offered,14.0,444.0,736920.0
271,5.50Ξ ($515),,,"Dec 07, 2018",Offered,14.0,5.5,515.0
273,"2.50Ξ ($1,884)",,,"Dec 26, 2017",Offered,14.0,2.5,1884.0
275,1.85Ξ ($365),,,"Jul 14, 2017",Offered,14.0,1.85,365.0
276,1.90Ξ ($375),,,"Jul 14, 2017",Offered,14.0,1.9,375.0
277,2Ξ ($394),,,"Jul 14, 2017",Offered,14.0,2.0,394.0
279,0.90Ξ ($185),,,"Jul 13, 2017",Offered,14.0,0.9,185.0
447,"53Ξ ($113,248)",,,"Jul 11, 2021",Offered,53.0,53.0,113248.0
448,"39.99Ξ ($84,211)",,,"Jul 02, 2021",Offered,53.0,39.99,84211.0
451,"46.99Ξ ($121,299)",,,"Jun 09, 2021",Offered,53.0,46.99,121299.0
452,"48.99Ξ ($186,958)",,,"May 15, 2021",Offered,53.0,48.99,186958.0
453,"49.99Ξ ($191,901)",,,"May 09, 2021",Offered,53.0,49.99,191901.0
454,"53Ξ ($177,134)",,,"May 03, 2021",Offered,53.0,53.0,177134.0
455,"57.99Ξ ($158,298)",,,"Apr 28, 2021",Offered,53.0,57.99,158298.0
456,"58.99Ξ ($130,419)",,,"Apr 25, 2021",Offered,53.0,58.99,130419.0
457,"59.99Ξ ($152,615)",,,"Apr 22, 2021",Offered,53.0,59.99,152615.0
458,"67.99Ξ ($146,763)",,,"Apr 19, 2021",Offered,53.0,67.99,146763.0
459,"74.99Ξ ($161,073)",,,"Apr 12, 2021",Offered,53.0,74.99,161073.0
464,"53Ξ ($82,932)",,,"Feb 23, 2021",Offered,53.0,53.0,82932.0
466,"38.29Ξ ($74,591)",,,"Feb 21, 2021",Offered,53.0,38.29,74591.0
467,"37.59Ξ ($74,836)",,,"Feb 20, 2021",Offered,53.0,37.59,74836.0
469,"22Ξ ($42,352)",,,"Feb 19, 2021",Offered,53.0,22.0,42352.0
470,"30Ξ ($53,317)",,,"Feb 17, 2021",Offered,53.0,30.0,53317.0
472,"23.50Ξ ($42,755)",,,"Feb 14, 2021",Offered,53.0,23.5,42755.0
473,"53Ξ ($90,774)",,,"Feb 06, 2021",Offered,53.0,53.0,90774.0
475,"20Ξ ($26,612)",,,"Feb 01, 2021",Offered,53.0,20.0,26612.0
626,890Ξ ($1.59M),,,"Mar 16, 2021",Offered,89.0,890.0,1590000.0
627,"300Ξ ($542,466)",,,"Mar 12, 2021",Offered,89.0,300.0,542466.0
633,"175Ξ ($265,400)",,,"Feb 26, 2021",Offered,89.0,175.0,265400.0
636,"150Ξ ($218,316)",,,"Feb 26, 2021",Offered,89.0,150.0,218316.0
640,"250Ξ ($433,628)",,,"Feb 22, 2021",Offered,89.0,250.0,433628.0
644,"19.99Ξ ($6,898)",,,"Sep 06, 2020",Offered,89.0,19.99,6898.0
646,"45Ξ ($9,352)",,,"May 28, 2020",Offered,89.0,45.0,9352.0
648,"50Ξ ($10,366)",,,"May 27, 2020",Offered,89.0,50.0,10366.0
650,"2Ξ ($2,301)",,,"Jan 20, 2018",Offered,89.0,2.0,2301.0
652,0.99Ξ ($301),,,"Oct 31, 2017",Offered,89.0,0.99,301.0
653,1Ξ ($308),,,"Oct 06, 2017",Offered,89.0,1.0,308.0
654,1.35Ξ ($386),,,"Sep 23, 2017",Offered,89.0,1.35,386.0
655,1.80Ξ ($510),,,"Sep 20, 2017",Offered,89.0,1.8,510.0
656,2.49Ξ ($732),,,"Sep 12, 2017",Offered,89.0,2.49,732.0
657,2.50Ξ ($869),,,"Aug 28, 2017",Offered,89.0,2.5,869.0
658,3Ξ ($895),,,"Aug 20, 2017",Offered,89.0,3.0,895.0
659,"3.50Ξ ($1,038)",,,"Aug 13, 2017",Offered,89.0,3.5,1038.0
660,"3.99Ξ ($1,229)",,,"Aug 12, 2017",Offered,89.0,3.99,1229.0
662,3.39Ξ ($766),,,"Aug 01, 2017",Offered,89.0,3.39,766.0
663,3.49Ξ ($703),,,"Jul 31, 2017",Offered,89.0,3.49,703.0
664,3.50Ξ ($705),,,"Jul 31, 2017",Offered,89.0,3.5,705.0
666,3Ξ ($611),,,"Jul 25, 2017",Offered,89.0,3.0,611.0
668,2Ξ ($454),,,"Jul 18, 2017",Offered,89.0,2.0,454.0
669,2.49Ξ ($473),,,"Jul 17, 2017",Offered,89.0,2.49,473.0
670,3Ξ ($570),,,"Jul 17, 2017",Offered,89.0,3.0,570.0
672,4Ξ ($897),,,"Jul 12, 2017",Offered,89.0,4.0,897.0
786,"100Ξ ($398,850)",,,"May 13, 2021",Offered,116.0,100.0,398850.0
794,2.40Ξ ($473),,,"Jul 14, 2017",Offered,116.0,2.4,473.0
795,2.50Ξ ($493),,,"Jul 14, 2017",Offered,116.0,2.5,493.0
797,3Ξ ($616),,,"Jul 13, 2017",Offered,116.0,3.0,616.0
798,"5Ξ ($1,121)",,,"Jul 12, 2017",Offered,116.0,5.0,1121.0
799,3.50Ξ ($667),,,"Jul 11, 2017",Offered,116.0,3.5,667.0
801,3Ξ ($572),,,"Jul 11, 2017",Offered,116.0,3.0,572.0
803,1.20Ξ ($229),,,"Jul 11, 2017",Offered,116.0,1.2,229.0
824,"20.45Ξ ($69,259)",,,"May 04, 2021",Offered,118.0,20.45,69259.0
825,"27Ξ ($91,357)",,,"May 04, 2021",Offered,118.0,27.0,91357.0
826,"88Ξ ($169,189)",,,"Mar 13, 2021",Offered,118.0,88.0,169189.0
830,"20.25Ξ ($36,588)",,,"Mar 10, 2021",Offered,118.0,20.25,36588.0
831,"22.50Ξ ($39,682)",,,"Mar 08, 2021",Offered,118.0,22.5,39682.0
832,"24.50Ξ ($42,523)",,,"Mar 08, 2021",Offered,118.0,24.5,42523.0
833,"32.50Ξ ($55,296)",,,"Mar 08, 2021",Offered,118.0,32.5,55296.0
