id,type_id,rarity,skin_id,total_traits,total_hidden_traits
1,5,2023,7,3,1
2,4,4352,5,2,0
3,5,8090,6,1,0
4,4,7896,5,3,0
5,4,7332,7,4,0
6,5,1960,7,3,1
7,4,7425,7,1,0
8,5,866,7,3,0
9,4,6530,5,2,0
10,4,1761,7,3,0
11,5,5668,5,2,0
12,5,2565,7,3,0
13,5,1201,5,2,0
14,5,1657,6,3,0
15,5,155,5,3,0
16,4,6494,4,3,0
17,4,8315,7,3,0
18,4,5303,6,2,0
19,4,4458,7,2,0
20,5,9915,5,3,0
21,4,8045,6,1,0
22,4,9607,6,3,0
23,5,183,5,2,0
24,4,5480,6,3,0
25,4,4341,6,2,0
26,5,1268,5,1,0
27,5,3027,7,1,0
28,4,7831,6,2,0
29,4,8763,5,2,0
30,5,2297,7,3,1
31,4,6777,5,2,0
32,5,8104,5,1,0
33,4,4393,6,2,0
34,4,7635,6,1,0
35,5,9448,6,2,0
36,4,3351,5,5,0
37,5,2165,7,1,0
38,5,8136,5,2,0
39,5,9353,6,3,0
40,4,5226,6,3,0
41,4,4247,6,3,0
42,4,7666,5,3,0
43,5,9586,5,2,0
44,5,2166,7,1,0
45,4,8099,6,1,0
46,4,4576,7,2,0
47,5,2684,7,2,0
48,4,8051,5,1,0
49,4,9206,6,2,0
50,5,5447,5,2,0
51,4,902,7,2,0
52,4,7731,7,3,0
53,4,8864,5,4,0
54,5,2825,6,2,0
55,4,4934,5,1,0
56,4,4502,6,1,0
57,4,7421,5,1,0
58,4,8037,6,1,0
59,4,4876,7,2,0
60,4,1420,4,2,0
61,5,9849,6,2,0
62,5,3026,6,1,0
63,5,8506,5,4,0
64,4,7434,5,3,0
65,5,1719,7,2,0
66,5,7127,7,2,0
67,5,3656,5,1,0
68,5,2067,5,3,0
69,4,7570,5,2,0
70,4,3818,7,2,0
71,5,8742,7,4,0
72,5,2011,6,3,0
73,4,3825,5,4,0
74,5,9952,7,3,0
75,4,8981,5,3,0
76,4,8839,6,3,0
77,4,7590,6,2,0
78,4,5613,5,2,0
79,4,5546,7,3,0
80,4,7010,5,2,0
81,4,6696,4,2,0
82,4,8251,6,2,0
83,4,8033,4,1,0
84,4,5861,6,3,0
85,4,9656,6,3,0
86,5,8042,5,1,0
87,5,5751,5,4,0
88,4,4998,6,2,1
89,5,8231,6,2,0
