,id,types,rarity,skin,total_traits,traits,total_hidden_traits,hidden_traits
0,0,Female,2023,Mid,3,"Blonde Bob,Earring,Green Eye Shadow",1,Earring
1,1,Male,4352,Dark,2,"Mohawk,Smile",0,
2,2,Female,8090,Light,1,Wild Hair,0,
3,3,Male,7896,Dark,3,"Nerd Glasses,Pipe,Wild Hair",0,
4,4,Male,7332,Mid,4,"Big Shades,Earring,Goat,Wild Hair",0,
5,5,Female,1960,Mid,3,"Earring,Half Shaved,Purple Eye Shadow",1,Earring
6,6,Male,7425,Mid,1,Do-rag,0,
7,7,Female,866,Mid,3,"Clown Eyes Blue,Spots,Wild White Hair",0,
8,8,Male,6530,Dark,2,"Luxurious Beard,Messy Hair",0,
9,9,Male,1761,Mid,3,"Big Beard,Clown Nose,Police Cap",0,
10,10,Female,5668,Dark,2,"Blue Eye Shadow,Mohawk",0,
11,11,Female,2565,Mid,3,"Black Lipstick,Clown Eyes Green,Straight Hair Dark",0,
12,12,Female,1201,Dark,2,"Blonde Short,Purple Lipstick",0,
13,13,Female,1657,Light,3,"Big Shades,Black Lipstick,Straight Hair Blonde",0,
14,14,Female,155,Dark,3,"Hot Lipstick,Pilot Helmet,Pipe",0,
15,15,Male,6494,Albino,3,"Luxurious Beard,Regular Shades,Wild Hair",0,
16,16,Male,8315,Mid,3,"Earring,Small Shades,Stringy Hair",0,
17,17,Male,5303,Light,2,"Frown,Mohawk",0,
18,18,Male,4458,Mid,2,"Eye Mask,Muttonchops",0,
19,19,Female,9915,Dark,3,"Bandana,Horned Rim Glasses,Hot Lipstick",0,
20,20,Male,8045,Light,1,Crazy Hair,0,
21,21,Male,9607,Light,3,"Classic Shades,Earring,Messy Hair",0,
22,22,Female,183,Dark,2,"Pilot Helmet,Purple Lipstick",0,
23,23,Male,5480,Light,3,"Do-rag,Earring,Handlebars",0,
24,24,Male,4341,Light,2,"Mohawk Dark,Smile",0,
25,25,Female,1268,Dark,1,Wild White Hair,0,
26,26,Female,3027,Mid,1,Dark Hair,0,
27,27,Male,7831,Light,2,"Earring,Peak Spike",0,
28,28,Male,8763,Dark,2,"Big Shades,Crazy Hair",0,
29,29,Female,2297,Mid,3,"Earring,Half Shaved,Horned Rim Glasses",1,Earring
30,30,Male,6777,Dark,2,"Cap,Normal Beard Black",0,
31,31,Female,8104,Dark,1,Stringy Hair,0,
32,32,Male,4393,Light,2,"Frown,VR",0,
33,33,Male,7635,Light,1,Peak Spike,0,
34,34,Female,9448,Light,2,"Frumpy Hair,Purple Lipstick",0,
35,35,Male,3351,Dark,5,"Cigarette,Earring,Horned Rim Glasses,Normal Beard,Peak Spike",0,
36,36,Female,2165,Mid,1,Red Mohawk,0,
37,37,Female,8136,Dark,2,"Cap,Clown Eyes Blue",0,
38,38,Female,9353,Light,3,"Classic Shades,Frumpy Hair,Purple Lipstick",0,
39,39,Male,5226,Light,3,"Frown,Regular Shades,Shaved Head",0,
40,40,Male,4247,Light,3,"Bandana,Chinstrap,Smile",0,
41,41,Male,7666,Dark,3,"Clown Eyes Green,Muttonchops,Wild Hair",0,
42,42,Female,9586,Dark,2,"Cigarette,Wild Hair",0,
43,43,Female,2166,Mid,1,Half Shaved,0,
44,44,Male,8099,Light,1,Messy Hair,0,
45,45,Male,4576,Mid,2,"Earring,Mole",0,
46,46,Female,2684,Mid,2,"Purple Lipstick,Straight Hair Dark",0,
47,47,Male,8051,Dark,1,Knitted Cap,0,
48,48,Male,9206,Light,2,"Big Shades,Mohawk",0,
49,49,Female,5447,Dark,2,"Bandana,Purple Eye Shadow",0,
50,50,Male,902,Mid,2,"Fedora,Spots",0,
51,51,Male,7731,Mid,3,"Earring,Muttonchops,Wild Hair",0,
52,52,Male,8864,Dark,4,"Earring,Knitted Cap,Nerd Glasses,Shadow Beard",0,
53,53,Female,2825,Light,2,"Big Shades,Straight Hair",0,
54,54,Male,4934,Dark,1,Hoodie,0,
55,55,Male,4502,Light,1,Eye Patch,0,
56,56,Male,7421,Dark,1,Shaved Head,0,
57,57,Male,8037,Light,1,Headband,0,
58,58,Male,4876,Mid,2,"Hoodie,Normal Beard Black",0,
59,59,Male,1420,Albino,2,"Cowboy Hat,Muttonchops",0,
60,60,Female,9849,Light,2,"Purple Lipstick,Stringy Hair",0,
61,61,Female,3026,Light,1,Dark Hair,0,
