,Type,From,To,Amount,Txn,punk_id
0,Bid Withdrawn,0x983ace,,250Ξ ($1.03M),"May 10, 2021",0.0
1,Bid,0x983ace,,"250Ξ ($537,615)","Apr 11, 2021",0.0
2,Bid Withdrawn,0xd7510a,,"100Ξ ($160,973)","Mar 03, 2021",0.0
3,Bid,0xd7510a,,"100Ξ ($188,897)","Feb 20, 2021",0.0
4,Bid Withdrawn,natealex,,"69Ξ ($25,532)","Sep 16, 2020",0.0
5,Bid,natealex,,"69Ξ ($25,104)","Sep 15, 2020",0.0
6,Bid Withdrawn,natealex,,"49Ξ ($7,031)","Jan 11, 2020",0.0
7,Bid,natealex,,"49Ξ ($6,786)","Jan 09, 2020",0.0
8,Bid Withdrawn,natealex,,"44Ξ ($6,329)","Jan 08, 2020",0.0
9,Bid,natealex,,"44Ξ ($5,905)","Dec 30, 2019",0.0
10,Bid Withdrawn,natealex,,0Ξ ($1),"Dec 30, 2019",0.0
11,Bid,natealex,,0Ξ ($1),"Dec 30, 2019",0.0
12,Bid Withdrawn,GoWest23,,"18.50Ξ ($4,544)","May 23, 2019",0.0
13,Bid,GoWest23,,"18.50Ξ ($4,504)","May 22, 2019",0.0
14,Bid Withdrawn,PsyRen,,"40Ξ ($6,597)","Apr 02, 2019",0.0
15,Bid,PsyRen,,"40Ξ ($6,597)","Apr 02, 2019",0.0
16,Sold,0xf5099e,0xe08c32,"25Ξ ($2,822)","Nov 30, 2018",0.0
17,Bid,0xe08c32,,"25Ξ ($2,822)","Nov 30, 2018",0.0
18,Offered,,,"100Ξ ($18,303)","Sep 12, 2018",0.0
19,Offered,,,"200Ξ ($138,566)","Dec 16, 2017",0.0
20,Bid,0x7760e0,,"13Ξ ($3,132)","Jul 07, 2017",0.0
21,Bid,0x00d7c9,,"13Ξ ($3,132)","Jul 07, 2017",0.0
22,Offered,,,"400Ξ ($96,376)","Jul 07, 2017",0.0
23,Transfer,0xa0a59c,0xf5099e,,"Jul 07, 2017",0.0
24,Sold,0x00d7c9,0xa0a59c,1.60Ξ ($386),"Jul 07, 2017",0.0
25,Bid,0xa0a59c,,1.60Ξ ($386),"Jul 07, 2017",0.0
26,Bid,0x7760e0,,1.53Ξ ($422),"Jul 03, 2017",0.0
27,Bid,0xa0a59c,,1.52Ξ ($422),"Jul 03, 2017",0.0
28,Bid,0x7760e0,,1.30Ξ ($369),"Jul 02, 2017",0.0
29,Bid,0xa0a59c,,1.30Ξ ($369),"Jul 02, 2017",0.0
30,Bid,0x717403,,0.05Ξ ($14),"Jun 25, 2017",0.0
31,Sold,0xc352b5,0x00d7c9,0.98Ξ ($320),"Jun 23, 2017",0.0
32,Bid,0x00d7c9,,0.98Ξ ($320),"Jun 23, 2017",0.0
33,Bid,0x948a10,,0.67Ξ ($219),"Jun 23, 2017",0.0
34,Claimed,,0xc352b5,,"Jun 23, 2017",0.0
