,Amount,From,To,Txn,Type,punk_id
0,0.30Ξ ($67),0xa9bfa9,0x717403,"Aug 03, 2017",Sold,5000.0
1,0.30Ξ ($80),0x717403,,"Jul 05, 2017",Bid,5000.0
2,0.30Ξ ($81),0xa0a59c,,"Jul 04, 2017",Bid,5000.0
3,0.06Ξ ($16),0x717403,,"Jul 04, 2017",Bid Withdrawn,5000.0
4,0.06Ξ ($15),0x717403,,"Jun 26, 2017",Bid,5000.0
5,0.06Ξ ($15),0x9be1c7,,"Jun 26, 2017",Bid,5000.0
6,,,0xa9bfa9,"Jun 23, 2017",Claimed,5000.0
7,,0x7e5280,0x0601d0,"Jun 05, 2019",Transfer,5001.0
8,,0xd27e3f,0x7e5280,"Oct 04, 2017",Transfer,5001.0
9,0.50Ξ ($150),0xc352b5,,"Sep 10, 2017",Bid Withdrawn,5001.0
10,1.20Ξ ($247),Zieg,0xd27e3f,"Jul 29, 2017",Sold,5001.0
11,1.20Ξ ($247),,,"Jul 29, 2017",Offered,5001.0
12,1.90Ξ ($387),,,"Jul 25, 2017",Offered,5001.0
13,0.50Ξ ($108),0xc352b5,,"Jul 21, 2017",Bid,5001.0
14,1.60Ξ ($362),,,"Jul 20, 2017",Offered,5001.0
15,,,,"Jul 19, 2017",Offer Withdrawn,5001.0
16,1.90Ξ ($431),,,"Jul 18, 2017",Offered,5001.0
17,0.05Ξ ($13),0x717403,,"Jun 26, 2017",Bid,5001.0
18,,,Zieg,"Jun 23, 2017",Claimed,5001.0
19,,0xd0d05e,0x18e804,"Jul 17, 2021",Transfer,5002.0
20,"205Ξ ($382,579)",FunBum69,0xd0d05e,"Jul 17, 2021",Sold,5002.0
21,"205Ξ ($382,579)",0xd0d05e,,"Jul 17, 2021",Bid,5002.0
22,"204Ξ ($380,713)",0xd0d05e,,"Jul 17, 2021",Bid Withdrawn,5002.0
23,"215Ξ ($400,723)",,,"Jul 17, 2021",Offered,5002.0
24,"204Ξ ($381,717)",0xd0d05e,,"Jul 17, 2021",Bid,5002.0
25,"184Ξ ($344,293)",0xd0d05e,,"Jul 17, 2021",Bid Withdrawn,5002.0
26,"184Ξ ($349,843)",0xd0d05e,,"Jul 16, 2021",Bid,5002.0
27,"235Ξ ($437,079)",,,"Jul 16, 2021",Offered,5002.0
28,"240Ξ ($461,628)",,,"Jul 15, 2021",Offered,5002.0
29,"120Ξ ($229,343)",0x023ef7,,"Jul 15, 2021",Bid Withdrawn,5002.0
30,"245Ξ ($471,329)",,,"Jul 15, 2021",Offered,5002.0
31,"255Ξ ($489,182)",,,"Jul 15, 2021",Offered,5002.0
32,"259Ξ ($485,521)",,,"Jul 14, 2021",Offered,5002.0
33,"120Ξ ($226,855)",0x023ef7,,"Jul 14, 2021",Bid,5002.0
34,"269Ξ ($508,534)",,,"Jul 14, 2021",Offered,5002.0
35,"295Ξ ($563,441)",,,"Jul 14, 2021",Offered,5002.0
36,"345.67Ξ ($689,204)",,,"Jul 13, 2021",Offered,5002.0
37,"385Ξ ($808,361)",,,"Jul 12, 2021",Offered,5002.0
38,"420Ξ ($889,736)",,,"Jul 03, 2021",Offered,5002.0
39,,,,"Jun 09, 2021",Offer Withdrawn,5002.0
40,9KΞ ($31.08M),,,"May 07, 2021",Offered,5002.0
41,6.9KΞ ($14.71M),,,"Apr 20, 2021",Offered,5002.0
42,4.2KΞ ($7.54M),,,"Mar 21, 2021",Offered,5002.0
43,1.5KΞ ($2.71M),,,"Mar 12, 2021",Offered,5002.0
44,840Ξ ($1.49M),,,"Mar 11, 2021",Offered,5002.0
45,"500.20Ξ ($765,856)",,,"Mar 05, 2021",Offered,5002.0
46,840Ξ ($1.16M),,,"Feb 28, 2021",Offered,5002.0
47,950Ξ ($1.55M),,,"Feb 25, 2021",Offered,5002.0
48,,,,"Feb 22, 2021",Offer Withdrawn,5002.0
49,600Ξ ($1.17M),,,"Feb 19, 2021",Offered,5002.0
50,"420Ξ ($775,480)",,,"Feb 13, 2021",Offered,5002.0
51,"375Ξ ($484,781)",,,"Jan 24, 2021",Offered,5002.0
52,,,,"Jan 11, 2021",Offer Withdrawn,5002.0
53,"375Ξ ($452,100)",,,"Jan 08, 2021",Offered,5002.0
54,"250Ξ ($87,710)",,,"Oct 08, 2020",Offered,5002.0
55,,BumFun69,FunBum69,"Jun 01, 2020",Transfer,5002.0
56,"49Ξ ($11,542)",0x4960c4…,BumFun69,"Jun 01, 2020",Sold,5002.0
57,"12Ξ ($2,491)",TokenAng…,,"May 23, 2020",Bid Withdrawn,5002.0
58,"12Ξ ($2,419)",TokenAng…,,"May 22, 2020",Bid,5002.0
59,"49Ξ ($10,458)",,,"May 20, 2020",Offered,5002.0
60,"5Ξ ($1,067)",TokenAng…,,"May 07, 2020",Bid Withdrawn,5002.0
61,"5Ξ ($1,039)",TokenAng…,,"May 06, 2020",Bid,5002.0
62,4.40Ξ ($776),EliteCat…,,"Oct 01, 2019",Bid Withdrawn,5002.0
63,4.40Ξ ($766),EliteCat…,,"Sep 28, 2019",Bid,5002.0
