,id,types,rarity,skin,total_traits,total_hidden_traits
0,0,Female,2023,Mid,3,1
1,1,Male,4352,Dark,2,0
2,2,Female,8090,Light,1,0
3,3,Male,7896,Dark,3,0
4,4,Male,7332,Mid,4,0
5,5,Female,1960,Mid,3,1
6,6,Male,7425,Mid,1,0
7,7,Female,866,Mid,3,0
8,8,Male,6530,Dark,2,0
9,9,Male,1761,Mid,3,0
10,10,Female,5668,Dark,2,0
11,11,Female,2565,Mid,3,0
12,12,Female,1201,Dark,2,0
13,13,Female,1657,Light,3,0
14,14,Female,155,Dark,3,0
15,15,Male,6494,Albino,3,0
16,16,Male,8315,Mid,3,0
17,17,Male,5303,Light,2,0
18,18,Male,4458,Mid,2,0
19,19,Female,9915,Dark,3,0
20,20,Male,8045,Light,1,0
21,21,Male,9607,Light,3,0
22,22,Female,183,Dark,2,0
23,23,Male,5480,Light,3,0
24,24,Male,4341,Light,2,0
25,25,Female,1268,Dark,1,0
26,26,Female,3027,Mid,1,0
27,27,Male,7831,Light,2,0
28,28,Male,8763,Dark,2,0
29,29,Female,2297,Mid,3,1
30,30,Male,6777,Dark,2,0
31,31,Female,8104,Dark,1,0
32,32,Male,4393,Light,2,0
33,33,Male,7635,Light,1,0
34,34,Female,9448,Light,2,0
35,35,Male,3351,Dark,5,0
36,36,Female,2165,Mid,1,0
37,37,Female,8136,Dark,2,0
38,38,Female,9353,Light,3,0
39,39,Male,5226,Light,3,0
40,40,Male,4247,Light,3,0
41,41,Male,7666,Dark,3,0
42,42,Female,9586,Dark,2,0
43,43,Female,2166,Mid,1,0
44,44,Male,8099,Light,1,0
45,45,Male,4576,Mid,2,0
46,46,Female,2684,Mid,2,0
47,47,Male,8051,Dark,1,0
48,48,Male,9206,Light,2,0
49,49,Female,5447,Dark,2,0
50,50,Male,902,Mid,2,0
51,51,Male,7731,Mid,3,0
52,52,Male,8864,Dark,4,0
53,53,Female,2825,Light,2,0
54,54,Male,4934,Dark,1,0
55,55,Male,4502,Light,1,0
56,56,Male,7421,Dark,1,0
57,57,Male,8037,Light,1,0
58,58,Male,4876,Mid,2,0
59,59,Male,1420,Albino,2,0
60,60,Female,9849,Light,2,0
61,61,Female,3026,Light,1,0
62,62,Female,8506,Dark,4,0
63,63,Male,7434,Dark,3,0
64,64,Female,1719,Mid,2,0
65,65,Female,7127,Mid,2,0
66,66,Female,3656,Dark,1,0
67,67,Female,2067,Dark,3,0
68,68,Male,7570,Dark,2,0
69,69,Male,3818,Mid,2,0
70,70,Female,8742,Mid,4,0
71,71,Female,2011,Light,3,0
72,72,Male,3825,Dark,4,0
73,73,Female,9952,Mid,3,0
74,74,Male,8981,Dark,3,0
75,75,Male,8839,Light,3,0
76,76,Male,7590,Light,2,0
77,77,Male,5613,Dark,2,0
78,78,Male,5546,Mid,3,0
79,79,Male,7010,Dark,2,0
80,80,Male,6696,Albino,2,0
81,81,Male,8251,Light,2,0
82,82,Male,8033,Albino,1,0
83,83,Male,5861,Light,3,0
84,84,Male,9656,Light,3,0
85,85,Female,8042,Dark,1,0
86,86,Female,5751,Dark,4,0
87,87,Male,4998,Light,2,1
88,88,Female,8231,Light,2,0
89,89,Female,125,Dark,1,0
90,90,Male,4954,Mid,2,0
91,91,Female,2730,Light,2,0
92,92,Female,729,Light,3,0
93,93,Female,8114,Light,1,0
94,94,Female,720,Dark,3,1
95,95,Male,9339,Mid,2,0
96,96,Female,2161,Light,1,0
97,97,Male,8093,Mid,1,0
98,98,Female,436,Light,3,0
99,99,Male,4997,Mid,2,0
100,100,Female,3658,Mid,1,0
101,101,Male,4069,Mid,2,0
102,102,Male,2078,Mid,2,0
103,103,Female,2005,Dark,3,0
104,104,Male,6805,Dark,4,0
105,105,Male,8074,Light,1,0
106,106,Female,1589,Light,1,0
107,107,Male,8039,Mid,1,0
108,108,Female,8682,Light,2,0
109,109,Male,3778,Dark,3,0
110,110,Female,9046,Dark,4,0
111,111,Male,5551,Dark,2,0
112,112,Male,1877,Mid,4,0
113,113,Male,8066,Albino,1,0
114,114,Female,2158,Dark,1,0
115,115,Female,2421,Dark,2,1
116,116,Female,220,Dark,4,0
117,117,Zombie,504,Zombie,2,0
118,118,Female,9954,Light,2,0
119,119,Male,8245,Mid,2,0
120,120,Female,3703,Mid,2,0
121,121,Female,243,Light,2,0
122,122,Male,9323,Light,2,0
123,123,Female,868,Mid,2,0
124,124,Male,6760,Mid,3,0
125,125,Female,3693,Light,3,0
126,126,Male,8605,Albino,4,0
127,127,Female,8453,Mid,2,0
128,128,Male,3938,Light,4,1
129,129,Male,3389,Light,4,0
130,130,Male,8075,Light,1,0
131,131,Female,2694,Mid,2,0
132,132,Male,8070,Dark,1,0
133,133,Male,3149,Albino,3,0
134,134,Male,4021,Mid,1,0
135,135,Male,4708,Light,1,0
136,136,Male,7444,Dark,3,0
137,137,Male,8097,Dark,1,0
138,138,Male,9806,Light,2,0
139,139,Male,7470,Mid,2,0
140,140,Female,4532,Dark,1,0
141,141,Male,6115,Dark,3,0
142,142,Male,9168,Light,2,0
143,143,Male,91,Light,2,0
144,144,Male,6479,Dark,3,0
145,145,Male,8091,Light,1,0
146,146,Male,9335,Light,2,0
147,147,Male,9158,Albino,2,0
148,148,Male,4935,Mid,1,0
149,149,Male,6522,Light,3,0
150,150,Female,4578,Mid,2,0
151,151,Male,8015,Mid,2,0
152,152,Male,8371,Light,2,0
153,153,Male,7120,Mid,3,0
154,154,Male,4969,Dark,3,1
155,155,Male,2455,Dark,2,0
156,156,Male,4715,Dark,2,0
157,157,Male,8237,Mid,2,0
158,158,Male,7330,Light,3,0
159,159,Male,9873,Light,2,0
160,160,Female,612,Mid,3,0
161,161,Female,9452,Dark,2,0
162,162,Male,6860,Mid,3,0
163,163,Male,7466,Dark,2,0
164,164,Female,8014,Mid,2,0
165,165,Male,5111,Mid,3,0
166,166,Male,7528,Dark,2,0
167,167,Female,8698,Mid,2,0
168,168,Female,1880,Light,3,0
169,169,Female,1299,Mid,3,0
170,170,Male,7775,Light,3,0
171,171,Male,9837,Mid,3,0
172,172,Female,2068,Mid,3,0
173,173,Female,3360,Dark,5,0
174,174,Male,9534,Dark,3,0
175,175,Male,8197,Mid,2,0
176,176,Female,9512,Dark,4,1
177,177,Male,6561,Dark,2,0
178,178,Male,3855,Mid,1,0
179,179,Male,9095,Albino,3,0
180,180,Female,189,Dark,2,0
181,181,Male,8071,Dark,1,0
182,182,Male,7633,Albino,1,0
183,183,Male,4507,Light,1,0
184,184,Female,2025,Dark,2,0
185,185,Female,1334,Light,2,0
186,186,Male,6642,Dark,2,0
187,187,Female,2777,Light,1,0
188,188,Male,7815,Dark,3,0
189,189,Female,9288,Light,2,0
190,190,Male,8035,Dark,1,0
191,191,Female,8068,Dark,1,0
192,192,Male,4170,Mid,4,0
193,193,Female,3623,Light,3,1
194,194,Male,8423,Light,2,0
195,195,Female,1687,Light,2,0
196,196,Female,3695,Light,3,0
197,197,Male,9348,Dark,2,0
198,198,Male,68,Mid,2,0
199,199,Female,1161,Light,2,0
200,200,Female,8088,Dark,1,0
201,201,Female,2996,Mid,4,0
202,202,Female,8691,Light,3,0
203,203,Male,6082,Light,3,0
204,204,Male,8749,Mid,2,0
205,205,Male,6829,Mid,3,0
206,206,Male,4087,Light,3,0
207,207,Male,7616,Light,3,0
208,208,Male,6321,Mid,3,0
209,209,Female,9856,Dark,2,0
210,210,Female,2708,Mid,2,1
211,211,Male,7320,Dark,2,0
212,212,Female,8822,Dark,2,0
213,213,Female,8046,Mid,1,0
214,214,Male,5128,Dark,2,0
215,215,Female,8076,Mid,1,0
216,216,Male,8117,Mid,1,0
217,217,Male,6210,Mid,3,0
218,218,Male,5511,Light,4,0
219,219,Female,1062,Dark,4,0
220,220,Male,8652,Albino,2,0
221,221,Male,7758,Dark,4,0
222,222,Male,7395,Light,3,0
223,223,Male,6982,Light,3,0
224,224,Male,8669,Light,4,0
225,225,Female,311,Mid,3,1
226,226,Female,4534,Mid,1,0
227,227,Female,1270,Mid,1,0
228,228,Male,7663,Mid,2,0
229,229,Male,9727,Light,2,0
230,230,Male,6429,Dark,2,0
231,231,Female,7915,Mid,3,0
232,232,Female,5688,Dark,2,0
233,233,Female,9978,Albino,2,0
234,234,Male,8910,Light,2,0
235,235,Male,9461,Light,2,0
236,236,Male,2121,Light,2,0
237,237,Male,9165,Dark,2,0
238,238,Female,2577,Mid,2,0
239,239,Male,5213,Dark,3,0
240,240,Female,1674,Mid,2,0
241,241,Female,1590,Light,1,0
242,242,Female,9827,Dark,2,0
243,243,Male,3947,Light,4,0
244,244,Female,9513,Light,3,0
245,245,Female,3025,Dark,1,0
246,246,Male,6555,Albino,3,0
247,247,Female,5762,Dark,2,0
248,248,Female,5424,Dark,2,0
249,249,Female,280,Light,1,0
250,250,Female,8409,Mid,3,1
251,251,Female,5763,Light,2,0
252,252,Male,4772,Albino,2,0
253,253,Female,1145,Dark,2,0
254,254,Male,3854,Light,1,0
255,255,Male,6584,Light,2,0
256,256,Male,3781,Dark,4,0
257,257,Male,5261,Light,2,0
258,258,Male,4604,Mid,2,0
259,259,Male,4674,Light,3,0
260,260,Male,3167,Dark,2,0
261,261,Female,1319,Dark,2,0
262,262,Female,1167,Dark,2,0
263,263,Male,7741,Albino,2,0
264,264,Female,1339,Albino,2,1
265,265,Male,3391,Dark,3,0
266,266,Male,7435,Dark,3,0
267,267,Male,3748,Dark,2,0
268,268,Female,8052,Light,1,0
269,269,Male,4840,Dark,4,1
270,270,Female,2221,Mid,2,0
271,271,Male,8109,Mid,1,0
272,272,Male,393,Mid,2,0
273,273,Male,4761,Light,2,0
274,274,Male,5512,Light,4,0
275,275,Female,5432,Mid,3,0
276,276,Female,8044,Light,1,0
277,277,Female,2162,Light,1,0
278,278,Female,2661,Albino,2,0
279,279,Female,1527,Mid,3,0
280,280,Male,4538,Albino,1,0
281,281,Male,7,Light,0,0
282,282,Female,2601,Albino,2,0
283,283,Female,9453,Light,2,0
284,284,Male,8067,Albino,1,0
285,285,Female,3101,Light,2,0
286,286,Male,7336,Albino,2,0
287,287,Female,5391,Albino,3,0
288,288,Male,7419,Albino,1,0
289,289,Female,9091,Mid,2,0
290,290,Female,1591,Mid,1,0
291,291,Male,9340,Mid,2,0
292,292,Female,3716,Light,2,0
293,293,Male,5565,Light,2,0
294,294,Male,4980,Dark,3,1
295,295,Male,5236,Mid,2,0
296,296,Male,8078,Mid,1,0
297,297,Male,7686,Mid,2,0
298,298,Female,2163,Light,1,0
299,299,Male,7389,Dark,2,0
300,300,Male,7277,Light,2,0
301,301,Female,2014,Albino,3,0
302,302,Female,5717,Mid,3,0
303,303,Female,2379,Dark,2,0
304,304,Male,7793,Mid,2,0
305,305,Female,2144,Albino,3,0
306,306,Female,5939,Light,2,0
307,307,Male,6231,Mid,2,0
308,308,Male,9646,Light,3,0
309,309,Male,7559,Mid,2,0
310,310,Male,5949,Dark,4,0
311,311,Male,6067,Light,2,0
312,312,Male,4628,Light,2,0
313,313,Female,9052,Light,2,0
314,314,Male,3996,Albino,2,0
315,315,Female,1317,Mid,3,0
316,316,Female,8112,Dark,1,0
317,317,Male,5192,Mid,3,0
318,318,Female,9975,Albino,3,0
319,319,Female,2705,Light,2,1
320,320,Male,8105,Dark,1,0
321,321,Male,7636,Mid,1,0
322,322,Female,695,Mid,3,0
323,323,Male,8059,Dark,1,0
324,324,Female,2392,Albino,3,1
325,325,Male,3972,Dark,3,0
326,326,Female,1333,Dark,3,1
327,327,Male,8041,Albino,1,0
328,328,Male,9931,Light,2,0
329,329,Female,9757,Mid,2,0
330,330,Male,8358,Mid,2,0
331,331,Female,3722,Albino,3,1
332,332,Male,9803,Dark,2,0
333,333,Female,1503,Light,3,0
334,334,Male,1865,Dark,2,0
335,335,Male,2561,Mid,1,0
336,336,Male,807,Mid,3,0
337,337,Male,8085,Mid,1,0
338,338,Male,8310,Light,2,0
339,339,Female,3361,Albino,5,0
340,340,Male,3516,Mid,4,0
341,341,Female,9734,Light,2,0
342,342,Female,9907,Light,2,0
343,343,Male,4049,Light,2,0
344,344,Male,75,Dark,1,0
345,345,Female,3744,Mid,2,1
346,346,Male,3218,Mid,1,0
347,347,Male,8900,Mid,2,0
348,348,Female,1084,Light,3,0
349,349,Male,5112,Dark,3,0
350,350,Female,8108,Mid,1,0
351,351,Male,3194,Light,3,0
352,352,Female,2759,Mid,2,0
353,353,Female,5832,Light,2,0
354,354,Male,4072,Albino,2,0
355,355,Female,1220,Albino,4,0
356,356,Male,8107,Light,1,0
357,357,Female,3742,Dark,2,1
358,358,Male,6373,Light,3,0
359,359,Female,9713,Albino,2,0
360,360,Male,6902,Mid,2,0
361,361,Male,8063,Mid,1,0
362,362,Male,7104,Mid,3,0
363,363,Male,1452,Albino,3,0
