,id,total_sold,avg_sold_price,max_sold_price,types,rarity,skin,traits,total_traits,marcador
0,0,3.0,9.193333333333333,25.0,Female,2023,Mid,"Blonde Bob,Earring,Green Eye Shadow",3,1
1,1,3.0,30.473333333333333,60.0,Male,4352,Dark,"Mohawk,Smile",2,1
14,14,3.0,1.75,2.5,Female,155,Dark,"Hot Lipstick,Pilot Helmet,Pipe",3,1
33,33,1.0,0.51,0.51,Male,7635,Light,Peak Spike,1,1
53,53,2.0,21.0,22.0,Female,2825,Light,"Big Shades,Straight Hair",2,1
89,89,3.0,13.829999999999998,20.0,Female,125,Dark,Choker,1,1
116,116,2.0,1.7999999999999998,2.4,Female,220,Dark,"Black Lipstick,Clown Eyes Blue,Earring,Tiara",4,1
118,118,2.0,20.35,20.45,Female,9954,Light,"Bandana,Black Lipstick",2,1
124,124,3.0,17.3,19.9,Male,6760,Mid,"Earring,Normal Beard Black,Peak Spike",3,1
138,138,4.0,14.925,15.95,Male,9806,Light,"Horned Rim Glasses,Stringy Hair",2,1
139,139,1.0,24.99,24.99,Male,7470,Mid,"Do-rag,Eye Patch",2,1
141,141,1.0,33.99,33.99,Male,6115,Dark,"3D Glasses,Chinstrap,Headband",3,1
143,143,3.0,117.16666666666667,180.0,Male,91,Light,"Beanie,Horned Rim Glasses",2,1
155,155,3.0,14.666666666666666,25.0,Male,2455,Dark,"Clown Hair Green,Clown Nose",2,1
160,160,3.0,41.0,53.0,Female,612,Mid,"Clown Eyes Blue,Pigtails,Purple Lipstick",3,1
161,161,2.0,19.605,22.21,Female,9452,Dark,"Frumpy Hair,Hot Lipstick",2,1
168,168,1.0,25.0,25.0,Female,1880,Light,"Blonde Bob,Blue Eye Shadow,Silver Chain",3,1
169,169,3.0,17.663333333333334,45.0,Female,1299,Mid,"Hot Lipstick,Regular Shades,Wild White Hair",3,1
173,173,1.0,50.0,50.0,Female,3360,Dark,"Clown Eyes Blue,Hot Lipstick,Messy Hair,Mole,Pipe",5,1
186,186,1.0,21.5,21.5,Male,6642,Dark,"Crazy Hair,Mustache",2,1
195,195,1.0,16.0,16.0,Female,1687,Light,"Nerd Glasses,Straight Hair Blonde",2,1
203,203,1.0,29.99,29.99,Male,6082,Light,"Front Beard,Messy Hair,Regular Shades",3,1
234,234,1.0,24.99,24.99,Male,8910,Light,"Knitted Cap,Nerd Glasses",2,1
239,239,2.0,20.244999999999997,21.0,Male,5213,Dark,"Frown,Goat,Mohawk",3,1
240,240,5.0,20.4,50.0,Female,1674,Mid,"Big Shades,Straight Hair Blonde",2,1
241,241,1.0,5.0,5.0,Female,1590,Light,Wild Blonde,1,1
249,249,1.0,0.95,0.95,Female,280,Light,Orange Side,1,1
252,252,1.0,25.0,25.0,Male,4772,Albino,"Cap Forward,Mole",2,1
257,257,2.0,25.75,27.0,Male,5261,Light,"Cap,Frown",2,1
258,258,1.0,19.0,19.0,Male,4604,Mid,"Cap Forward,Handlebars",2,1
259,259,2.0,21.625,24.75,Male,4674,Light,"Cap Forward,Earring,Eye Mask",3,1
260,260,4.0,46.2325,60.0,Male,3167,Dark,"3D Glasses,Purple Hair",2,1
264,264,1.0,8.7,8.7,Female,1339,Albino,"Earring,Wild White Hair",2,1
273,273,4.0,12.875,26.5,Male,4761,Light,"Big Shades,Cap Forward",2,1
280,280,2.0,0.725,1.2,Male,4538,Albino,Earring,1,1
283,283,2.0,13.85,27.49,Female,9453,Light,"Frumpy Hair,Hot Lipstick",2,1
285,285,2.0,30.99,31.99,Female,3101,Light,"Dark Hair,Purple Lipstick",2,1
287,287,4.0,24.7475,29.5,Female,5391,Albino,"Cigarette,Mohawk,Purple Eye Shadow",3,1
291,291,1.0,21.0,21.0,Male,9340,Mid,"Earring,Mohawk Thin",2,1
294,294,4.0,6.2875,12.0,Male,4980,Dark,"Big Shades,Earring,Hoodie",3,1
299,299,1.0,12.77,12.77,Male,7389,Dark,"Do-rag,Muttonchops",2,1
318,318,2.0,27.0,27.5,Female,9975,Albino,"Bandana,Cigarette,Hot Lipstick",3,1
322,322,2.0,14.0,16.0,Female,695,Mid,"Black Lipstick,Clown Eyes Green,Pink With Hat",3,1
328,328,1.0,21.88,21.88,Male,9931,Light,"Bandana,Horned Rim Glasses",2,1
329,329,3.0,24.279999999999998,24.99,Female,9757,Mid,"Bandana,Eye Patch",2,1
332,332,2.0,18.369999999999997,21.49,Male,9803,Dark,"Horned Rim Glasses,Stringy Hair",2,1
335,335,2.0,36.5,40.0,Male,2561,Mid,Clown Hair Green,1,1
338,338,1.0,26.99,26.99,Male,8310,Light,"Messy Hair,Small Shades",2,1
339,339,2.0,64.995,79.99,Female,3361,Albino,"Big Shades,Black Lipstick,Cap,Earring,Mole",5,1
340,340,2.0,50.5,51.0,Male,3516,Mid,"3D Glasses,Headband,Medical Mask,Muttonchops",4,1
341,341,1.0,24.99,24.99,Female,9734,Light,"Earring,Messy Hair",2,1
342,342,1.0,20.5,20.5,Female,9907,Light,"Bandana,Regular Shades",2,1
344,344,1.0,15.0,15.0,Male,75,Dark,Beanie,1,1
346,346,1.0,0.47,0.47,Male,3218,Mid,Purple Hair,1,1
349,349,1.0,0.7,0.7,Male,5112,Dark,"Earring,Front Beard Dark,Mohawk Dark",3,1
352,352,1.0,26.79,26.79,Female,2759,Mid,"Green Eye Shadow,Straight Hair",2,1
353,353,5.0,15.698000000000002,16.5,Female,5832,Light,"Bandana,Green Eye Shadow",2,1
355,355,2.0,0.675,0.75,Female,1220,Albino,"Black Lipstick,Gold Chain,Green Eye Shadow,Wild White Hair",4,1
365,365,2.0,17.325,17.99,Male,6922,Light,"Do-rag,Normal Beard",2,1
368,368,2.0,9.995,19.99,Female,9449,Mid,"Frumpy Hair,Purple Lipstick",2,1
376,376,3.0,27.63,29.9,Female,2329,Light,"Half Shaved,Nerd Glasses",2,1
381,381,2.0,24.49,24.99,Female,8926,Light,"Knitted Cap,Purple Lipstick",2,1
382,382,2.0,65.255,130.0,Female,194,Light,"Cigarette,Pilot Helmet",2,1
383,383,1.0,39.7,39.7,Female,1554,Mid,"Green Eye Shadow,Straight Hair Blonde",2,1
384,384,2.0,36.1,48.2,Female,9879,Mid,"Bandana,Classic Shades,Purple Lipstick",3,1
385,385,1.0,5.0,5.0,Female,139,Mid,"Choker,Wild Hair",2,1
402,402,2.0,18.92,20.0,Male,5129,Dark,"Front Beard Dark,Mohawk Thin",2,1
404,404,1.0,0.95,0.95,Female,257,Light,"Cigarette,Orange Side,Silver Chain",3,1
406,406,3.0,56.163333333333334,62.49,Male,4989,Dark,"Hoodie,Nerd Glasses",2,1
407,407,2.0,88.0,90.0,Female,1713,Light,"Earring,Purple Lipstick,Wild Blonde",3,1
410,410,1.0,27.0,27.0,Male,8608,Albino,"Eye Patch,Headband",2,1
411,411,1.0,24.99,24.99,Female,8549,Light,"Black Lipstick,Clown Eyes Blue,Wild Hair",3,1
416,416,1.0,65.0,65.0,Male,4229,Dark,"Cigarette,Hoodie,Smile",3,1
422,422,1.0,34.99,34.99,Female,2985,Light,"Dark Hair,Earring,Purple Eye Shadow,Purple Lipstick",4,1
426,426,4.0,7.925,19.95,Male,7804,Dark,"Big Shades,Peak Spike",2,1
430,430,1.0,17.99,17.99,Female,3099,Dark,"Dark Hair,Earring,Purple Lipstick",3,1
431,431,1.0,26.99,26.99,Female,8658,Dark,"Headband,Horned Rim Glasses",2,1
435,435,3.0,21.983333333333334,24.0,Male,7718,Mid,"Mohawk Thin,Muttonchops",2,1
441,441,8.0,16.9525,21.97,Male,9781,Dark,"Shadow Beard,Stringy Hair",2,1
445,445,2.0,35.825,71.0,Female,154,Dark,"Earring,Pilot Helmet,Pipe,Purple Lipstick",4,1
446,446,2.0,17.994999999999997,24.99,Female,1684,Mid,"Cigarette,Nerd Glasses,Straight Hair Blonde",3,1
447,447,3.0,20.166666666666668,20.5,Male,9809,Mid,"Big Shades,Stringy Hair",2,1
449,449,2.0,18.845,19.19,Female,2843,Mid,"Cigarette,Purple Lipstick,Straight Hair",3,1
453,453,1.0,70.0,70.0,Male,375,Mid,"Buck Teeth,Cap",2,1
457,457,1.0,45.0,45.0,Male,6117,Light,"3D Glasses,Chinstrap,Knitted Cap",3,1
460,460,1.0,2.5,2.5,Female,123,Light,"Black Lipstick,Choker,Classic Shades,Earring,Mohawk Dark",5,1
465,465,1.0,14.0,14.0,Male,4839,Light,"3D Glasses,Hoodie,Pipe",3,1
470,470,2.0,18.445,18.99,Male,8882,Dark,"Big Shades,Knitted Cap,Mole",3,1
