,id,amount_ethereum,amount_dollars,transaction_date
0,3500,3.75Ξ,"($2,175)","Dec 14, 2020"
1,3500,6Ξ,"($2,339)","Oct 21, 2020"
2,3500,0.26Ξ,($73),"Aug 15, 2018"
3,3500,0.06Ξ,($45),"May 07, 2018"
4,3501,26.98Ξ,"($43,842)","Feb 25, 2021"
5,3501,22Ξ,"($35,015)","Feb 25, 2021"
6,3501,12Ξ,"($23,602)","Feb 19, 2021"
7,3502,13Ξ,"($47,906)","May 13, 2021"
8,3504,5.50Ξ,"($7,218)","Jan 27, 2021"
9,3504,4.50Ξ,"($5,598)","Jan 23, 2021"
10,3504,0.10Ξ,($136),"Jan 14, 2018"
11,3507,0.38Ξ,($102),"Jul 04, 2017"
12,3507,0.23Ξ,($70),"Jun 24, 2017"
13,3508,32Ξ,"($107,130)","May 05, 2021"
14,3508,24.48Ξ,"($81,947)","May 05, 2021"
15,3508,23.99Ξ,"($41,879)","Mar 12, 2021"
16,3509,23.49Ξ,"($63,686)","Apr 29, 2021"
17,3509,19.90Ξ,"($48,480)","Apr 15, 2021"
18,3509,3.10Ξ,"($1,091)","Sep 27, 2020"
19,3509,2.95Ξ,"($1,047)","Sep 26, 2020"
20,3509,2.49Ξ,($856),"Sep 24, 2020"
21,3509,2.16Ξ,($707),"Sep 24, 2020"
22,3509,1.87Ξ,($642),"Sep 22, 2020"
23,3509,1Ξ,($364),"Sep 11, 2020"
24,3510,1Ξ,($200),"May 17, 2020"
25,3511,0.35Ξ,($285),"Feb 08, 2018"
26,3511,0.05Ξ,($46),"Feb 02, 2018"
27,3511,0.10Ξ,($79),"Dec 21, 2017"
28,3512,21.50Ξ,"($38,857)","Mar 12, 2021"
29,3512,7.80Ξ,"($14,078)","Feb 13, 2021"
30,3512,0.28Ξ,($42),"Jan 07, 2019"
31,3512,0.18Ξ,($55),"Aug 12, 2017"
32,3512,0.42Ξ,($87),"Jul 13, 2017"
33,3513,24.50Ξ,"($51,000)","Apr 09, 2021"
34,3514,22.75Ξ,"($72,610)","May 03, 2021"
35,3514,20Ξ,"($43,625)","Apr 18, 2021"
36,3514,16Ξ,"($32,717)","Apr 08, 2021"
37,3514,15Ξ,"($29,460)","Apr 07, 2021"
38,3514,21.99Ξ,"($39,763)","Mar 12, 2021"
39,3515,14Ξ,"($25,691)","Feb 17, 2021"
40,3515,6.48Ξ,"($8,235)","Jan 27, 2021"
41,3515,5.74Ξ,"($1,994)","Oct 03, 2020"
42,3519,43Ξ,"($106,800)","Apr 17, 2021"
43,3519,48Ξ,"($87,510)","Mar 20, 2021"
44,3519,41.50Ξ,"($74,264)","Mar 12, 2021"
45,3520,25Ξ,"($46,851)","Jul 17, 2021"
46,3520,22.25Ξ,"($50,110)","Apr 20, 2021"
47,3520,21Ξ,"($43,407)","Apr 08, 2021"
48,3520,18Ξ,"($33,184)","Mar 30, 2021"
49,3521,9.90Ξ,"($18,157)","Feb 17, 2021"
50,3521,0.60Ξ,($87),"Jan 10, 2020"
51,3523,3.70Ξ,"($1,333)","Sep 27, 2020"
52,3523,0.12Ξ,($13),"Nov 26, 2018"
53,3526,26.90Ξ,"($87,466)","May 04, 2021"
54,3526,21.45Ξ,"($63,790)","May 02, 2021"
55,3527,17.50Ξ,"($69,526)","May 11, 2021"
56,3528,9.97Ξ,"($13,293)","Feb 01, 2021"
57,3529,19.99Ξ,"($41,320)","Apr 08, 2021"
58,3529,19Ξ,"($35,111)","Mar 31, 2021"
59,3530,14.50Ξ,"($28,718)","Apr 07, 2021"
60,3530,17Ξ,"($24,788)","Mar 05, 2021"
61,3530,21.40Ξ,"($41,020)","Feb 22, 2021"
62,3530,11.50Ξ,"($21,225)","Feb 17, 2021"
63,3530,0.98Ξ,($351),"Sep 09, 2020"
64,3530,0.85Ξ,($172),"May 22, 2020"
65,3530,0.15Ξ,($43),"Jun 27, 2017"
66,3532,14.69Ξ,"($47,851)","May 18, 2021"
67,3533,2.20Ξ,($763),"Oct 04, 2020"
68,3533,3.40Ξ,"($1,219)","Sep 28, 2020"
69,3533,3Ξ,"($1,062)","Sep 27, 2020"
70,3533,3Ξ,"($1,065)","Sep 26, 2020"
71,3533,2.90Ξ,"($1,000)","Sep 25, 2020"
72,3533,2.60Ξ,($913),"Sep 24, 2020"
73,3533,2.30Ξ,($796),"Sep 24, 2020"
74,3534,25.00Ξ,"($47,199)","Jul 14, 2021"
75,3534,24.50Ξ,"($53,949)","Apr 20, 2021"
76,3534,21Ξ,"($44,108)","Apr 05, 2021"
77,3534,19.99Ξ,"($36,853)","Mar 30, 2021"
78,3536,26.99Ξ,"($85,636)","May 03, 2021"
79,3536,26Ξ,"($65,613)","Apr 27, 2021"
80,3539,24.99Ξ,"($43,681)","Mar 12, 2021"
81,3539,23.99Ξ,"($40,430)","Feb 23, 2021"
82,3539,13.33Ξ,"($24,602)","Feb 17, 2021"
83,3539,5.38Ξ,"($1,869)","Oct 03, 2020"
84,3539,5.10Ξ,"($1,860)","Sep 28, 2020"
85,3539,4.95Ξ,"($1,778)","Sep 28, 2020"
86,3539,4Ξ,"($1,432)","Sep 28, 2020"
87,3540,0.05Ξ,($29),"Jun 01, 2018"
88,3541,0.20Ξ,($20),"Dec 05, 2018"
89,3542,23Ξ,"($42,002)","Mar 11, 2021"
90,3542,21Ξ,"($32,153)","Mar 05, 2021"
91,3542,0.05Ξ,($29),"May 31, 2018"
92,3543,2.99Ξ,"($1,045)","Sep 07, 2020"
93,3543,1.50Ξ,($198),"Dec 30, 2019"
94,3543,0.70Ξ,($115),"Apr 13, 2019"
95,3544,16.50Ξ,"($34,213)","Apr 04, 2021"
96,3544,0.15Ξ,($44),"Jun 29, 2017"
97,3544,0.15Ξ,($43),"Jun 27, 2017"
98,3545,0.95Ξ,($215),"Feb 08, 2020"
99,3545,0.20Ξ,($59),"Sep 01, 2018"
100,3546,55Ξ,"($104,509)","Jul 17, 2021"
101,3547,0.40Ξ,($400),"Jan 22, 2018"
102,3548,35Ξ,"($64,685)","Mar 20, 2021"
103,3549,5.12Ξ,"($3,330)","Dec 27, 2020"
104,3549,2.90Ξ,"($1,025)","Sep 26, 2020"
105,3549,2.50Ξ,($877),"Sep 26, 2020"
106,3549,2.30Ξ,($779),"Sep 24, 2020"
107,3550,0.16Ξ,($89),"Mar 20, 2018"
108,3552,0.85Ξ,($337),"Aug 23, 2020"
109,3553,20.99Ξ,"($72,917)","May 04, 2021"
110,3553,20.50Ξ,"($49,904)","Apr 26, 2021"
111,3553,19.96Ξ,"($42,999)","Apr 12, 2021"
112,3553,17Ξ,"($36,088)","Apr 10, 2021"
113,3553,0.00Ξ,($0.00),"Oct 04, 2020"
114,3553,2.70Ξ,($931),"Sep 25, 2020"
115,3553,2.49Ξ,($862),"Sep 24, 2020"
116,3553,2.19Ξ,($757),"Sep 24, 2020"
117,3553,1.80Ξ,($613),"Sep 22, 2020"
118,3558,14.99Ξ,"($28,354)","Jun 21, 2021"
119,3558,24Ξ,"($43,674)","Feb 15, 2021"
120,3559,5Ξ,"($1,872)","Oct 12, 2020"
121,3561,18.90Ξ,"($34,262)","Mar 11, 2021"
122,3561,18.59Ξ,"($33,069)","Mar 11, 2021"
123,3561,8.60Ξ,"($15,089)","Feb 16, 2021"
124,3561,2.79Ξ,($965),"Sep 24, 2020"
125,3561,2.19Ξ,($736),"Sep 24, 2020"
126,3561,1.80Ξ,($613),"Sep 22, 2020"
127,3562,1.30Ξ,($307),"Jun 12, 2020"
128,3563,1.95Ξ,($749),"Sep 12, 2020"
129,3563,1.20Ξ,($271),"Jul 02, 2020"
130,3563,0.75Ξ,($96),"Mar 29, 2020"
131,3563,0.74Ξ,($123),"Jan 17, 2020"
132,3563,0.40Ξ,($84),"Aug 09, 2019"
133,3565,18Ξ,"($38,251)","Jun 29, 2021"
134,3565,22Ξ,"($71,720)","May 03, 2021"
135,3565,24.20Ξ,"($76,699)","May 03, 2021"
136,3565,23.10Ξ,"($41,569)","Mar 15, 2021"
137,3565,20Ξ,"($36,128)","Mar 11, 2021"
138,3565,6.50Ξ,"($11,397)","Feb 09, 2021"
139,3565,3.04Ξ,"($4,324)","Jan 25, 2021"
140,3565,2.20Ξ,($818),"Sep 15, 2020"
141,3565,1.50Ξ,($554),"Sep 11, 2020"
142,3565,1.40Ξ,($514),"Sep 11, 2020"
143,3566,19Ξ,"($34,810)","Mar 29, 2021"
144,3567,23.99Ξ,"($51,785)","Apr 19, 2021"
145,3569,27.90Ξ,"($58,260)","Apr 09, 2021"
146,3569,27Ξ,"($36,928)","Feb 28, 2021"
147,3569,0.45Ξ,($121),"Jul 11, 2019"
148,3569,0.50Ξ,($84),"May 07, 2019"
149,3570,0.14Ξ,($60),"Apr 11, 2018"
150,3571,35Ξ,"($55,835)","Feb 23, 2021"
151,3571,2Ξ,($376),"May 11, 2020"
152,3571,1.10Ξ,($177),"Jan 25, 2020"
153,3572,24.75Ξ,"($53,083)","Apr 11, 2021"
154,3572,23.55Ξ,"($40,620)","Mar 16, 2021"
155,3572,15.70Ξ,"($30,760)","Feb 20, 2021"
156,3572,5.68Ξ,"($7,298)","Jan 27, 2021"
157,3572,3.45Ξ,"($1,193)","Sep 24, 2020"
158,3572,0.96Ξ,($374),"Aug 09, 2020"
159,3572,0.80Ξ,($162),"May 15, 2020"
160,3574,0.15Ξ,($157),"Jan 26, 2018"
161,3575,0.25Ξ,($98),"Sep 01, 2017"
162,3576,8.10Ξ,"($14,509)","Feb 16, 2021"
163,3576,7Ξ,"($12,721)","Feb 13, 2021"
164,3576,5.25Ξ,"($6,746)","Jan 27, 2021"
165,3576,5.25Ξ,"($1,853)","Sep 29, 2020"
166,3576,5Ξ,"($1,816)","Sep 28, 2020"
167,3576,4.19Ξ,"($1,501)","Sep 28, 2020"
168,3576,3.39Ξ,"($1,217)","Sep 28, 2020"
169,3576,3.20Ξ,"($1,135)","Sep 27, 2020"
170,3576,2.30Ξ,($796),"Sep 24, 2020"
171,3577,24Ξ,"($49,608)","Apr 08, 2021"
172,3577,21.99Ξ,"($36,763)","Mar 24, 2021"
173,3577,21.12Ξ,"($35,893)","Mar 23, 2021"
174,3577,7.10Ξ,"($12,902)","Feb 13, 2021"
175,3577,0.02Ξ,($7),"Oct 04, 2020"
176,3577,3.40Ξ,"($1,219)","Sep 28, 2020"
177,3577,3.25Ξ,"($1,149)","Sep 27, 2020"
178,3577,0.44Ξ,($76),"May 06, 2019"
179,3578,0.60Ξ,($83),"Mar 06, 2019"
180,3580,5.75Ξ,"($7,574)","Feb 01, 2021"
181,3580,2.45Ξ,($848),"Sep 24, 2020"
182,3580,2.19Ξ,($757),"Sep 24, 2020"
183,3580,1.80Ξ,($613),"Sep 22, 2020"
184,3581,20.50Ξ,"($43,128)","Jun 29, 2021"
185,3581,29.50Ξ,"($73,512)","Apr 15, 2021"
186,3581,14.50Ξ,"($24,732)","Mar 27, 2021"
187,3581,0.16Ξ,($218),"Jan 14, 2018"
188,3583,2.99Ξ,"($1,038)","Sep 25, 2020"
189,3583,2.30Ξ,($796),"Sep 24, 2020"
190,3584,0.30Ξ,($38),"Jan 10, 2019"
191,3585,0.55Ξ,($143),"May 19, 2019"
192,3586,22.48Ξ,"($33,360)","Mar 02, 2021"
193,3587,42Ξ,"($80,506)","Feb 22, 2021"
194,3587,24.50Ξ,"($47,563)","Feb 21, 2021"
195,3587,19.80Ξ,"($36,786)","Feb 18, 2021"
196,3587,0.10Ξ,($58),"May 31, 2018"
197,3588,2.79Ξ,($953),"Sep 23, 2020"
198,3588,2Ξ,($770),"Sep 19, 2020"
199,3588,3Ξ,"($1,135)","Sep 15, 2020"
200,3588,2.20Ξ,($827),"Sep 14, 2020"
201,3588,0.25Ξ,($38),"Nov 23, 2019"
202,3589,41Ξ,"($65,920)","Mar 03, 2021"
203,3589,39.95Ξ,"($76,576)","Feb 22, 2021"
204,3589,22Ξ,"($44,035)","Feb 20, 2021"
205,3589,22.50Ξ,"($42,562)","Feb 18, 2021"
206,3589,2Ξ,($528),"Jun 14, 2019"
207,3591,0.12Ξ,($19),"Nov 19, 2018"
208,3592,5Ξ,"($1,007)","May 26, 2020"
209,3592,0.50Ξ,($87),"Apr 18, 2019"
